ZhenRelNo2T3,A,2014-08-26

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.655159950256,350.0,150.0,302,136,0,0,133,400,0,0.0092830657959
1,2.77127671242,324.933353287,548.422940263,320,538,0,0,133,400,0,0.00037407875061
2,4.30279874802,399.737977433,156.283367774,386,186,0,0,133,400,0,0.000277996063232
3,5.65102767944,276.375089463,535.955297178,278,485,0,0,133,400,0,0.00126719474792
4,6.98242545128,446.35073482,174.738663991,422,211,0,0,133,400,0,0.000394105911255
5,8.21265864372,232.442949542,511.803398875,237,523,0,0,133,400,0,0.00217890739441
6,9.62517356873,486.909421186,204.206274516,483,235,0,0,133,400,0,0.00233006477356
7,10.9773943424,195.897351445,477.48479795,211,459,0,0,133,400,0,0.00060510635376
8,12.3314244747,518.8655851,242.834641004,504,250,0,0,133,400,0,0.00167298316956
9,13.7925274372,169.034589507,435.155858313,222,419,0,0,133,400,0,0.00103497505188
10,15.7805342674,540.211303259,288.196601125,478,323,1,0,133,400,5.28480080942,0.000526189804077
11,17.1547701359,153.542549854,387.476262917,169,387,0,0,133,400,0,0.00173616409302
12,18.5710449219,549.605345686,337.441896094,490,356,0,0,133,400,0,0.000527143478394
13,20.0964689255,150.394654314,337.441896094,169,344,0,0,133,400,0,0.000643014907837
14,21.4840180874,546.457450146,387.476262917,521,371,0,0,133,400,0,0.000667810440063
15,23.0489339828,159.788696741,288.196601125,175,299,0,0,133,400,0,0.00045919418335
16,24.5300469398,530.965410493,435.155858313,488,420,0,0,133,400,0,0.00176501274109
17,26.0574331284,181.1344149,242.834641004,195,266,0,0,133,400,0,0.000888824462891
18,28.1217370033,504.102648555,477.48479795,438,443,1,0,133,400,8.55710184577,0.000915050506592
19,29.6195611954,213.090578814,204.206274516,229,244,0,0,133,400,0,0.00136494636536
20,33.5959281921,467.557050458,511.803398875,436,466,0,0,133,400,0,0.00126004219055
21,36.0672259331,253.64926518,174.738663991,270,218,0,0,133,400,0,0.000702142715454
22,38.2882120609,423.624910537,535.955297178,425,524,0,0,133,400,0,0.00149083137512
23,40.4650611877,300.262022567,156.283367774,317,179,0,0,133,400,0,0.00115299224854
24,42.7590432167,375.066646713,548.422940263,375,511,0,0,133,400,0,0.00144290924072
25,44.5664761066,350.0,150.0,370,184,0,0,133,400,0,0.000676155090332
