ZhenRelNo4T3,C,2014-08-26

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,1.13597798347,350.0,50.0,355,51,0,0,19,600,0,0.278213024139
1,4.21164608002,312.400029931,647.634410394,314,646,0,0,19,600,0,0.00110101699829
2,7.31121492386,424.606966149,59.4250516614,428,58,0,0,19,600,0,0.00110006332397
3,9.88599205017,239.562634195,628.932945766,237,626,0,0,19,600,0,0.000226974487305
4,12.8428189754,494.526102231,87.1079959868,496,89,0,0,19,600,0,0.0017421245575
5,15.3486840725,173.664424312,592.705098312,180,592,0,0,19,600,0,0.00139594078064
6,17.7849280834,555.364131779,131.309411774,552,129,0,0,19,600,0,0.000243902206421
7,20.6553378105,118.846027167,541.227196925,122,543,0,0,19,600,0,0.00260019302368
8,23.0896539688,603.298377651,189.251961506,605,186,0,0,19,600,0,0.000746011734009
9,25.6562139988,78.5518842602,477.73378747,77,471,0,0,19,600,0,0.00171995162964
10,28.3390841484,635.316954889,257.294901688,635,253,0,0,19,600,0,0.000964879989624
11,31.1862900257,55.3138247814,406.214394376,53,414,0,0,19,600,0,0.000360012054443
12,33.8436379433,649.408018528,331.162844141,644,332,0,0,19,600,0,0.000566959381104
13,36.3645970821,50.5919814715,331.162844141,49,328,0,0,19,600,0,0.000295877456665
14,38.9497241974,644.686175219,406.214394376,648,406,0,0,19,600,0,0.00136590003967
15,41.9043931961,64.6830451115,257.294901688,71,261,0,0,19,600,0,0.00106000900269
16,44.6249701977,621.44811574,477.73378747,628,480,0,0,19,600,0,0.000226974487305
17,47.4839594364,96.7016223494,189.251961506,102,186,0,0,19,600,0,0.00228691101074
18,50.1829833984,581.153972833,541.227196925,589,541,0,0,19,600,0,0.000305891036987
19,53.2890057564,144.635868221,131.309411774,146,139,0,0,19,600,0,0.00258183479309
20,56.9677937031,526.335575688,592.705098312,530,599,0,0,19,600,0,0.000252962112427
21,60.5389876366,205.473897769,87.1079959868,207,90,0,0,19,600,0,0.00264596939087
22,64.2943146229,460.437365805,628.932945766,462,629,0,0,19,600,0,0.000607013702393
23,67.8439779282,275.393033851,59.4250516614,281,59,0,0,19,600,0,0.000341892242432
24,72.5184168816,387.599970069,647.634410394,381,648,0,0,19,600,0,0.000507831573486
25,76.6696190834,350.0,50.0,352,46,0,0,19,600,0,0.000226020812988
