ZhenRelNo5T3,B,2014-08-26

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.539556980133,350.0,150.0,344,173,0,0,58,400,0,0.00870609283447
1,1.99719214439,324.933353287,548.422940263,326,543,0,0,58,400,0,0.000468969345093
2,3.86631822586,399.737977433,156.283367774,404,172,0,0,58,400,0,0.00162792205811
3,5.2312951088,276.375089463,535.955297178,271,520,0,0,58,400,0,0.000422954559326
4,7.67910218239,446.35073482,174.738663991,435,190,0,0,58,400,0,0.000302076339722
5,9.18938493729,232.442949542,511.803398875,207,512,0,0,58,400,0,0.000884056091309
6,13.6484410763,486.909421186,204.206274516,467,223,0,0,58,400,0,0.000407934188843
7,15.3712339401,195.897351445,477.48479795,204,475,0,0,58,400,0,0.0019211769104
8,33.5452079773,518.8655851,242.834641004,529,244,0,0,58,400,0,0.000345945358276
9,35.4565010071,169.034589507,435.155858313,194,434,0,0,58,400,0,0.000515937805176
10,36.828536272,540.211303259,288.196601125,544,288,0,0,58,400,0,0.00214982032776
11,39.1868643761,153.542549854,387.476262917,179,372,1,0,58,400,0.79255749014,0.00116395950317
12,40.4333832264,549.605345686,337.441896094,557,332,0,0,58,400,0,0.0011739730835
13,42.892480135,150.394654314,337.441896094,139,346,0,0,58,400,0,0.00115609169006
14,44.2885231972,546.457450146,387.476262917,537,381,0,0,58,400,0,0.00094199180603
15,46.9348039627,159.788696741,288.196601125,154,286,0,0,58,400,0,0.00239014625549
16,48.9204230309,530.965410493,435.155858313,499,421,1,0,58,400,5.95963089875,0.000706911087036
17,51.3107111454,181.1344149,242.834641004,198,255,0,0,58,400,0,0.000983953475952
18,53.5602850914,504.102648555,477.48479795,502,461,0,0,58,400,0,0.00113701820374
19,56.0977733135,213.090578814,204.206274516,225,204,0,0,58,400,0,0.00226497650146
20,57.9436831474,467.557050458,511.803398875,462,491,0,0,58,400,0,0.00028395652771
21,59.7644505501,253.64926518,174.738663991,263,173,0,0,58,400,0,0.000441789627075
22,61.8556973934,423.624910537,535.955297178,420,517,0,0,58,400,0,0.00396704673767
23,63.9684433937,300.262022567,156.283367774,298,154,0,0,58,400,0,0.00139999389648
24,65.782579422,375.066646713,548.422940263,378,530,0,0,58,400,0,0.000698089599609
25,67.5588233471,350.0,150.0,353,170,0,0,58,400,0,0.00168490409851
