ZhenX200Y200T3K7,B,2014-08-12

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,0.926682949066,350.0,150.0,349,150,0,0,58,400,0
1,1.83285403252,324.933353287,548.422940263,320,545,0,0,58,400,0
2,2.86590790749,399.737977433,156.283367774,394,149,0,0,58,400,0
3,3.74107003212,276.375089463,535.955297178,270,549,0,0,58,400,0
4,4.62797999382,446.35073482,174.738663991,425,172,0,0,58,400,0
5,5.74603390694,232.442949542,511.803398875,248,501,0,0,58,400,0
6,6.69167900085,486.909421186,204.206274516,494,200,0,0,58,400,0
7,7.55071902275,195.897351445,477.48479795,196,469,0,0,58,400,0
8,8.63636803627,518.8655851,242.834641004,541,215,1,0,58,400,6.56261467862
9,9.79447603226,169.034589507,435.155858313,170,428,0,0,58,400,0
10,11.0389089584,540.211303259,288.196601125,540,286,0,0,58,400,0
11,12.2172138691,153.542549854,387.476262917,163,381,0,0,58,400,0
12,13.0401220322,549.605345686,337.441896094,528,336,0,0,58,400,0
13,14.1769528389,150.394654314,337.441896094,165,334,0,0,58,400,0
14,15.4361410141,546.457450146,387.476262917,537,382,0,0,58,400,0
15,16.6260499954,159.788696741,288.196601125,158,291,0,0,58,400,0
16,17.8065178394,530.965410493,435.155858313,516,430,0,0,58,400,0
17,19.0532798767,181.1344149,242.834641004,195,250,0,0,58,400,0
18,19.8991868496,504.102648555,477.48479795,493,475,0,0,58,400,0
19,20.7828679085,213.090578814,204.206274516,213,188,0,0,58,400,0
20,21.8389749527,467.557050458,511.803398875,491,515,0,0,58,400,0
21,22.8648848534,253.64926518,174.738663991,253,195,0,0,58,400,0
22,24.0853710175,423.624910537,535.955297178,417,530,0,0,58,400,0
23,25.6296839714,300.262022567,156.283367774,286,156,0,0,58,400,0
24,26.9995658398,375.066646713,548.422940263,367,545,0,0,58,400,0
25,28.2290759087,350.0,150.0,352,154,0,0,58,400,0
