ZhenX200Y200T7K3,C,2014-08-12

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,1.82355999947,350.0,50.0,346,48,0,0,19,600,0
1,3.70593881607,312.400029931,647.634410394,305,652,0,0,19,600,0
2,5.51805996895,424.606966149,59.4250516614,421,60,0,0,19,600,0
3,7.96698999405,239.562634195,628.932945766,257,629,1,0,19,600,8.43749473123
4,12.0267310143,494.526102231,87.1079959868,486,83,1,0,19,600,0.464145512041
5,13.848526001,173.664424312,592.705098312,181,590,0,0,19,600,0
6,17.0319988728,555.364131779,131.309411774,553,129,0,0,19,600,0
7,18.9697189331,118.846027167,541.227196925,124,534,0,0,19,600,0
8,22.8273239136,603.298377651,189.251961506,601,180,1,0,19,600,0.533170067657
9,24.8861219883,78.5518842602,477.73378747,86,475,0,0,19,600,0
10,26.9024958611,635.316954889,257.294901688,632,256,0,0,19,600,0
11,29.8432228565,55.3138247814,406.214394376,46,406,1,0,19,600,0.316292020264
12,31.8448150158,649.408018528,331.162844141,651,324,0,0,19,600,0
13,34.8911619186,50.5919814715,331.162844141,58,340,1,0,19,600,2.5314379932
14,37.2423830032,644.686175219,406.214394376,641,399,0,0,19,600,0
15,39.374229908,64.6830451115,257.294901688,66,256,0,0,19,600,0
16,41.201928854,621.44811574,477.73378747,622,475,0,0,19,600,0
17,44.2760379314,96.7016223494,189.251961506,105,184,1,0,19,600,0.820701161104
18,46.3963558674,581.153972833,541.227196925,581,540,0,0,19,600,0
19,47.8884978294,144.635868221,131.309411774,148,129,0,0,19,600,0
20,49.3487849236,526.335575688,592.705098312,524,594,0,0,19,600,0
21,52.02520895,205.473897769,87.1079959868,202,89,0,0,19,600,0
22,54.8349199295,460.437365805,628.932945766,459,624,0,0,19,600,0
23,56.932518959,275.393033851,59.4250516614,271,66,0,0,19,600,0
24,58.8602569103,387.599970069,647.634410394,386,646,0,0,19,600,0
25,60.8118588924,350.0,50.0,347,45,0,0,19,600,0
