filename, meanMT, stdMT, meanDistance, stdDistance, errorRate,outlierRate, IDe, meanWidth, meanDist, ID, width, distance,TP 
FLT/P21/fingers/P21F8/P21F8fingersA,0.6454,2.2463,394.8982,11.6931,0.1818,0.0000,3.9387,27.5488,394.8982,3.0032,57.0000,400.0000,6.1023
FLT/P21/fingers/P21F8/P21F8fingersB,0.7226,2.4786,391.0329,14.4328,0.0909,0.0000,5.2943,10.2256,391.0329,3.9832,27.0000,400.0000,7.3267
FLT/P21/fingers/P21F8/P21F8fingersC,0.4942,2.7571,394.4835,3.3257,0.5455,0.0000,6.0370,6.1007,394.4835,4.9896,13.0000,400.0000,12.2157
FLT/P21/fingers/P21F3/P21F3fingersA,0.6355,2.9127,367.9000,76.5103,0.0909,0.0000,4.1085,22.6401,367.9000,3.0032,57.0000,400.0000,6.4650
FLT/P21/fingers/P21F3/P21F3fingersB,2.3088,4.1210,393.8568,7.3175,0.4545,0.0000,5.9663,6.4017,393.8568,3.9832,27.0000,400.0000,2.5841
FLT/P21/fingers/P21F3/P21F3fingersC,2.0263,4.8857,368.0156,58.9032,0.4545,0.0000,6.1307,5.3282,368.0156,4.9896,13.0000,400.0000,3.0255
FLT/P21/fingers/P21F1/P21F1fingersB,0.3497,5.2883,365.0389,44.3801,0.4545,0.0000,5.2417,9.9097,365.0389,3.9832,27.0000,400.0000,14.9906
FLT/P21/fingers/P21F1/P21F1fingersC,5.9340,15.3218,497.3710,173.3099,0.6364,0.0000,6.2956,6.4131,497.3710,5.5593,13.0000,600.0000,1.0609
FLT/P21/fingers/P21F1/P21F1fingersA,1.1441,4.5652,355.3351,100.2994,0.2727,0.0000,4.6146,15.1218,355.3351,3.0032,57.0000,400.0000,4.0333
FLT/P21/fingers/P21F7/P21F7fingersA,1.0540,3.0821,358.8346,113.6031,0.0909,0.0000,3.7047,29.8068,358.8346,3.0032,57.0000,400.0000,3.5149
FLT/P21/fingers/P21F7/P21F7fingersB,0.4968,2.9067,339.1883,102.9715,0.2727,0.0000,4.9771,11.1225,339.1883,3.9832,27.0000,400.0000,10.0193
FLT/P21/fingers/P21F7/P21F7fingersC,0.3313,2.7644,370.4038,37.4043,0.3636,0.0000,5.9772,5.9746,370.4038,4.9896,13.0000,400.0000,18.0424
FLT/P21/fingers/P21F6/P21F6fingersB,1.1974,2.9367,340.1050,113.3123,0.2727,0.0000,4.6786,13.8200,340.1050,3.9832,27.0000,400.0000,3.9074
FLT/P21/fingers/P21F6/P21F6fingersA,0.8273,2.7049,396.2315,7.5024,0.0000,0.0000,4.2857,21.4130,396.2315,3.0032,57.0000,400.0000,5.1805
FLT/P21/fingers/P21F6/P21F6fingersC,1.7844,3.9631,398.4655,21.3474,0.2727,0.0000,6.5119,4.4146,398.4655,4.9896,13.0000,400.0000,3.6494
FLT/P21/fingers/P21F2/P21F2fingersB,2.0271,4.9791,366.5131,86.7130,0.2727,0.0000,6.0475,5.6265,366.5131,3.9832,27.0000,400.0000,2.9833
FLT/P21/fingers/P21F2/P21F2fingersC,3.3893,6.1202,395.2747,3.4655,0.4545,0.0000,6.6904,3.8645,395.2747,4.9896,13.0000,400.0000,1.9740
FLT/P21/fingers/P21F2/P21F2fingersA,1.6924,3.4594,397.6702,15.5645,0.1818,0.0000,3.9584,27.3396,397.6702,3.0032,57.0000,400.0000,2.3389
FLT/P21/fingers/P21F4/P21F4fingersB,0.8566,2.3499,389.0771,14.4499,0.2727,0.0000,4.7989,14.4985,389.0771,3.9832,27.0000,400.0000,5.6021
FLT/P21/fingers/P21F4/P21F4fingersA,1.1438,3.2296,388.4132,13.6585,0.0909,0.0000,4.0578,24.8115,388.4132,3.0032,57.0000,400.0000,3.5477
FLT/P21/fingers/P21F4/P21F4fingersC,2.2920,6.4481,380.0470,39.9936,0.3636,0.0000,6.5798,4.0150,380.0470,4.9896,13.0000,400.0000,2.8708
FLT/P21/fingers/P21F5/P21F5fingersB,0.7250,2.6670,401.2708,15.3139,0.0909,0.0000,5.6009,8.4419,401.2708,3.9832,27.0000,400.0000,7.7254
FLT/P21/fingers/P21F5/P21F5fingersA,1.1693,3.1433,305.4991,108.5998,0.3636,0.0000,3.6773,25.9054,305.4991,3.0032,57.0000,400.0000,3.1449
FLT/P21/fingers/P21F5/P21F5fingersC,-0.9737,0.0064,590.9597,10.9280,0.4545,0.0000,6.8077,5.3228,590.9597,5.5593,13.0000,600.0000,-6.9918
