PabTa,C,2014-09-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,3.666,350.000,150.000,349.000,153.000,0,0,13,400,0.000,1.415,0.658,4.873,street
1,5.648,293.653,541.899,295.000,543.000,0,0,13,400,0.000,0.398,0.576,1.042,street
2,7.702,458.128,181.749,460.000,187.000,0,0,13,400,0.000,0.447,0.584,0.875,avenue
3,9.351,198.850,480.972,199.000,479.000,0,0,13,400,0.000,0.369,0.501,1.239,avenue
4,11.781,531.926,266.917,533.000,265.000,0,0,13,400,0.000,0.349,0.525,0.404,apple
5,13.365,152.036,378.463,156.000,378.000,0,0,13,400,0.000,0.296,0.589,0.486,google
6,15.097,547.964,378.463,551.000,376.000,0,0,13,400,0.000,0.296,0.646,0.503,mouse
7,16.617,168.074,266.917,166.000,270.000,0,0,13,400,0.000,0.298,0.585,0.528,tree
8,18.773,501.150,480.972,501.000,479.000,0,0,13,400,0.000,0.409,1.238,1.233,research
9,20.406,241.872,181.749,246.000,186.000,0,0,13,400,0.000,0.545,0.814,1.888,fingers
10,21.972,406.347,541.899,406.000,545.000,0,0,13,400,0.000,0.305,0.548,0.304,male
11,23.624,350.000,150.000,353.000,154.000,0,0,13,400,0.000,0.368
