P28F1,A,2014-09-12

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,5.716,350.000,150.000,387.000,137.000,1,0,57,400,11.217,8.635,5.255,4.326,her
1,24.064,293.653,541.899,308.000,529.000,0,0,57,400,0.000,13.313,5.012,6.357,gates
2,10.751,458.128,181.749,469.000,189.000,0,0,57,400,0.000,3.534,2.691,5.316,pittsburgh
3,31.807,198.850,480.972,195.000,460.000,0,0,57,400,0.000,4.740,4.532,5.115,speakers
4,18.494,531.926,266.917,526.000,262.000,0,0,57,400,0.000,19.393,4.341,2.226,college
5,14.959,152.036,378.463,154.000,378.000,0,0,57,400,0.000,3.223,7.480,3.497,research
6,39.453,547.964,378.463,150.000,459.000,1,0,57,400,378.032,0.134,12.913,1.635,cafe
7,26.140,168.074,266.917,176.000,284.000,0,0,57,400,0.000,3.858,16.611,2.633,center
8,22.605,501.150,480.972,495.000,476.000,0,0,57,400,0.000,2.572,7.327,1.341,cafe
9,17.865,241.872,181.749,248.000,193.000,0,0,57,400,0.000,5.722,12.481,2.138,friend
10,63.090,406.347,541.899,402.000,534.000,0,0,57,400,0.000,4.031,9.563,1.597,you
11,49.777,350.000,150.000,318.000,174.000,1,1,57,400,12.000,3.170
