P28F1,B,2014-09-12

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,5.467,350.000,150.000,327.000,158.000,1,0,27,400,11.352,0.665,2.470,1.704,tissue
1,18.193,293.653,541.899,284.000,562.000,1,0,27,400,9.299,2.914,3.607,2.194,kettle
2,15.279,458.128,181.749,452.000,184.000,0,0,27,400,0.000,6.015,3.225,1.610,college
3,28.466,198.850,480.972,201.000,479.000,0,0,27,400,0.000,3.928,2.804,1.135,her
4,25.551,531.926,266.917,537.000,270.000,0,0,27,400,0.000,5.594,3.768,10.271,female
5,19.537,152.036,378.463,150.000,383.000,0,0,27,400,0.000,4.226,7.165,0.693,her
6,37.462,547.964,378.463,547.000,372.000,0,0,27,400,0.000,2.057,24.497,3.023,keyboard
7,34.548,168.074,266.917,151.000,265.000,1,0,27,400,4.181,9.285,5.789,1.940,sheets
8,28.533,501.150,480.972,507.000,478.000,0,0,27,400,0.000,6.688,12.123,0.561,her
9,24.605,241.872,181.749,236.000,178.000,0,0,27,400,0.000,5.219,5.774,2.014,bring
10,45.905,406.347,541.899,401.000,543.000,0,0,27,400,0.000,3.437,4.687,3.440,fingers
11,42.991,350.000,150.000,353.000,152.000,0,0,27,400,0.000,3.159
