JulianX300Y200jl,B,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,0.700237035751,350.0,150.0,354,154,0,0,58,400,0
1,1.62139487267,324.933353287,548.422940263,320,543,0,0,58,400,0
2,2.42996191978,399.737977433,156.283367774,393,169,0,0,58,400,0
3,3.48408389091,276.375089463,535.955297178,277,526,0,0,58,400,0
4,4.26032590866,446.35073482,174.738663991,436,190,0,0,58,400,0
5,5.06813097,232.442949542,511.803398875,229,518,0,0,58,400,0
6,5.80585384369,486.909421186,204.206274516,484,215,0,0,58,400,0
7,6.64093399048,195.897351445,477.48479795,178,479,0,0,58,400,0
8,7.50136089325,518.8655851,242.834641004,520,246,0,0,58,400,0
9,8.39326691628,169.034589507,435.155858313,216,381,1,0,58,400,42.6840761426
10,9.28107404709,540.211303259,288.196601125,542,280,0,0,58,400,0
11,10.1087219715,153.542549854,387.476262917,164,372,0,0,58,400,0
12,10.7687048912,549.605345686,337.441896094,544,330,0,0,58,400,0
13,11.5890059471,150.394654314,337.441896094,167,338,0,0,58,400,0
14,12.8483040333,546.457450146,387.476262917,578,372,1,0,58,400,6.13470030026
15,13.885270834,159.788696741,288.196601125,170,280,0,0,58,400,0
16,14.6946799755,530.965410493,435.155858313,550,428,0,0,58,400,0
17,15.4723720551,181.1344149,242.834641004,185,249,0,0,58,400,0
18,16.5063438416,504.102648555,477.48479795,484,464,0,0,58,400,0
19,17.341588974,213.090578814,204.206274516,213,210,0,0,58,400,0
20,18.347317934,467.557050458,511.803398875,466,507,0,0,58,400,0
21,19.2135379314,253.64926518,174.738663991,247,176,0,0,58,400,0
22,20.2342078686,423.624910537,535.955297178,418,526,0,0,58,400,0
23,21.0687398911,300.262022567,156.283367774,300,159,0,0,58,400,0
24,22.1906399727,375.066646713,548.422940263,382,526,0,0,58,400,0
25,23.0393049717,350.0,150.0,356,154,0,0,58,400,0
