P34T1,A,2014-08-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,7.305,350.000,150.000,332.000,138.000,0,0,57,400,0.000,5.954,5.242,3.338,kettle
1,18.381,293.653,541.899,309.000,544.000,0,0,57,400,0.000,0.997,1.986,7.081,restaurant
2,29.429,458.128,181.749,456.000,194.000,0,0,57,400,0.000,0.057,1.090,2.025,cafe
3,34.813,198.850,480.972,205.000,497.000,0,0,57,400,0.000,0.830,1.610,0.518,tree
4,39.654,531.926,266.917,517.000,273.000,0,0,57,400,0.000,0.826,1.633,4.473,avenue
5,48.032,152.036,378.463,163.000,385.000,0,0,57,400,0.000,0.794,0.784,1.821,male
6,53.970,547.964,378.463,543.000,383.000,0,1,57,400,0.000,0.906,1.031,3.911,apple
7,61.358,168.074,266.917,182.000,269.000,0,0,57,400,0.000,0.807,1.370,6.907,government
8,72.122,501.150,480.972,514.000,488.000,0,0,57,400,0.000,1.002,0.747,4.313,restaurant
9,80.468,241.872,181.749,251.000,177.000,0,0,57,400,0.000,0.032,1.095,1.506,him
10,86.939,406.347,541.899,415.000,542.000,0,0,57,400,0.000,0.807,1.059,3.101,speakers
11,93.895,350.000,150.000,354.000,160.000,0,0,57,400,0.000,0.724
