P41F1,B,2014-09-02

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.386,350.000,150.000,342.000,158.000,0,0,27,400,0.000,1.161,4.001,1.280,tissue
1,2.714,293.653,541.899,289.000,537.000,0,0,27,400,0.000,1.007,2.019,0.611,tissue
2,4.653,458.128,181.749,463.000,184.000,0,0,27,400,0.000,0.922,1.051,1.873,woods
3,7.158,198.850,480.972,202.000,487.000,0,0,27,400,0.000,0.975,1.228,0.275,male
4,9.116,531.926,266.917,527.000,273.000,0,0,27,400,0.000,1.310,1.480,0.589,apple
5,11.092,152.036,378.463,140.000,379.000,0,0,27,400,0.000,0.911,8.373,0.957,research
6,12.190,547.964,378.463,541.000,374.000,0,0,27,400,0.000,1.386,1.649,0.570,candle
7,13.594,168.074,266.917,165.000,264.000,0,0,27,400,0.000,0.852,1.555,0.582,fingers
8,14.949,501.150,480.972,496.000,473.000,0,0,27,400,0.000,1.473,1.228,0.573,paper
9,16.577,241.872,181.749,237.000,189.000,0,0,27,400,0.000,0.828,0.940,0.627,friend
10,17.917,406.347,541.899,415.000,538.000,0,0,27,400,0.000,0.760,1.061,1.503,towel
11,18.827,350.000,150.000,352.000,150.000,0,0,27,400,0.000,0.808
