P41F7,C,2014-09-02

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.055,350.000,150.000,353.000,152.000,0,0,13,400,0.000,0.248,0.716,0.375,melon
1,2.235,293.653,541.899,292.000,540.000,0,0,13,400,0.000,0.672,0.698,0.392,melon
2,4.535,458.128,181.749,451.000,183.000,1,1,13,400,1.237,0.597,1.134,0.300,lamp
3,5.857,198.850,480.972,204.000,482.000,0,0,13,400,0.000,0.636,0.764,0.788,kettle
4,7.028,531.926,266.917,534.000,266.000,0,0,13,400,0.000,0.486,0.876,0.371,door
5,9.395,152.036,378.463,151.000,380.000,0,0,13,400,0.000,0.519,0.688,0.453,flower
6,11.410,547.964,378.463,547.000,375.000,0,0,13,400,0.000,0.495,0.768,0.918,university
7,14.469,168.074,266.917,164.000,273.000,1,0,13,400,1.321,0.505,0.818,0.981,restaurant
8,15.913,501.150,480.972,500.000,481.000,0,0,13,400,0.000,0.476,0.706,0.413,chair
9,17.494,241.872,181.749,242.000,186.000,0,0,13,400,0.000,0.509,0.810,0.699,speakers
10,19.470,406.347,541.899,399.000,545.000,1,0,13,400,1.974,0.478,0.743,0.522,fingers
11,20.558,350.000,150.000,351.000,147.000,0,0,13,400,0.000,0.410
