P42F8,A,2014-09-03

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.140,350.000,150.000,336.000,154.000,0,0,57,400,0.000,0.475,1.450,0.619,center
1,2.008,293.653,541.899,292.000,541.000,0,0,57,400,0.000,0.810,0.848,0.950,sheets
2,2.857,458.128,181.749,442.000,184.000,0,0,57,400,0.000,1.439,0.834,0.973,ceiling
3,4.147,198.850,480.972,219.000,501.000,1,0,57,400,0.410,0.911,0.842,1.452,suitcase
4,4.840,531.926,266.917,532.000,256.000,0,0,57,400,0.000,0.838,0.855,0.696,table
5,6.407,152.036,378.463,164.000,376.000,0,0,57,400,0.000,0.961,0.877,0.515,paper
6,7.058,547.964,378.463,533.000,392.000,0,0,57,400,0.000,0.820,1.043,1.067,carnegie
7,7.855,168.074,266.917,179.000,269.000,0,0,57,400,0.000,0.868,2.175,1.049,yahoo
8,8.618,501.150,480.972,508.000,485.000,0,0,57,400,0.000,1.033,0.900,1.127,speakers
9,9.464,241.872,181.749,247.000,192.000,0,0,57,400,0.000,0.961,0.859,0.845,chair
10,10.362,406.347,541.899,407.000,547.000,0,0,57,400,0.000,0.912,0.951,1.266,college
11,11.298,350.000,150.000,357.000,154.000,0,0,57,400,0.000,0.777
