P42F8,B,2014-09-03

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.717,350.000,150.000,354.000,153.000,0,0,27,400,0.000,0.133,0.970,6.392,university
1,1.898,293.653,541.899,301.000,536.000,0,0,27,400,0.000,1.111,0.875,1.164,computer
2,3.004,458.128,181.749,455.000,184.000,0,0,27,400,0.000,0.808,1.567,1.552,keyboard
3,3.793,198.850,480.972,189.000,479.000,0,0,27,400,0.000,1.206,1.180,4.677,computer
4,4.635,531.926,266.917,532.000,279.000,0,0,27,400,0.000,0.993,1.040,0.663,mouse
5,6.506,152.036,378.463,147.000,371.000,0,0,27,400,0.000,0.832,0.885,0.775,friend
6,7.577,547.964,378.463,546.000,387.000,0,0,27,400,0.000,0.832,1.727,0.367,male
7,13.388,168.074,266.917,154.000,272.000,1,0,27,400,1.963,1.030,1.094,2.362,college
8,14.393,501.150,480.972,493.000,480.000,0,0,27,400,0.000,0.947,1.837,1.241,college
9,18.570,241.872,181.749,230.000,191.000,1,0,27,400,2.050,0.773,1.173,0.822,friend
10,19.594,406.347,541.899,394.000,541.000,0,0,27,400,0.000,0.807,1.145,0.916,napkin
11,20.883,350.000,150.000,349.000,154.000,0,0,27,400,0.000,0.904
