asdf,A,2014-08-31

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.646,350.000,150.000,357.000,159.000,0,0,57,400,0.000,11.940,0.717,0.896,carnegie
1,13.244,293.653,541.899,280.000,558.000,0,0,57,400,0.000,0.482,25.362,0.760,computer
2,14.623,458.128,181.749,463.000,191.000,0,0,57,400,0.000,0.540,0.531,26.547,ceiling
3,16.301,198.850,480.972,163.000,480.000,1,0,57,400,7.863,0.514,0.555,0.528,apple
4,18.298,531.926,266.917,185.000,474.000,1,0,57,400,376.031,0.214,0.880,0.368,tree
5,19.112,152.036,378.463,152.000,368.000,0,0,57,400,0.000,0.272,0.504,0.320,woods
6,19.987,547.964,378.463,555.000,368.000,0,0,57,400,0.000,0.266,0.467,0.408,woods
7,20.822,168.074,266.917,178.000,246.000,0,0,57,400,0.000,0.322,0.645,0.488,gates
8,21.888,501.150,480.972,511.000,477.000,0,0,57,400,0.000,0.166,0.577,0.248,male
9,22.721,241.872,181.749,254.000,192.000,0,0,57,400,0.000,0.284,0.609,0.896,tissue
10,23.694,406.347,541.899,399.000,545.000,0,0,57,400,0.000,0.362,0.549,1.448,restaurant
11,24.697,350.000,150.000,366.000,144.000,0,0,57,400,0.000,0.306
