fawefaef,B,2014-08-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.560,350.000,150.000,350.000,146.000,0,0,27,400,0.000,1.134,0.879,1.000,garbage
1,3.476,293.653,541.899,301.000,545.000,0,0,27,400,0.000,0.226,0.627,0.136,you
2,5.210,458.128,181.749,451.000,190.000,0,0,27,400,0.000,0.297,0.510,0.800,garbage
3,7.414,198.850,480.972,198.000,486.000,0,0,27,400,0.000,0.228,0.682,0.576,friend
4,9.604,531.926,266.917,535.000,266.000,0,0,27,400,0.000,0.234,0.564,0.568,ceiling
5,11.511,152.036,378.463,147.000,374.000,0,0,27,400,0.000,0.220,0.601,2.064,speakers
6,15.074,547.964,378.463,549.000,378.000,0,0,27,400,0.000,0.038,0.630,1.176,research
7,19.259,168.074,266.917,169.000,253.000,1,0,27,400,0.948,0.312,0.726,3.264,toothpaste
8,26.006,501.150,480.972,498.000,480.000,0,0,27,400,0.000,1.408,2.499,1.472,pittsburgh
9,31.434,241.872,181.749,97.000,231.000,1,1,27,400,140.015,0.655,0.576,1.360,restaurant
10,34.414,406.347,541.899,410.000,538.000,0,0,27,400,0.000,0.304,0.468,0.752,paper
11,36.696,350.000,150.000,352.000,150.000,0,0,27,400,0.000,0.324
