juliantest,C,2014-09-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.311,350.000,150.000,353.000,150.000,0,0,13,400,0.000,0.006,1.599,1.035,suitcase
1,3.665,293.653,541.899,299.000,543.000,0,0,13,400,0.000,1.033,1.520,0.244,her
2,2.631,458.128,181.749,460.000,181.000,0,0,13,400,0.000,0.875,1.126,0.516,female
3,5.591,198.850,480.972,201.000,481.000,0,0,13,400,0.000,0.853,1.079,0.422,chair
4,4.558,531.926,266.917,532.000,264.000,0,0,13,400,0.000,0.770,1.100,1.128,tissue
5,3.683,152.036,378.463,149.000,379.000,0,0,13,400,0.000,0.810,2.800,0.485,gates
6,7.509,547.964,378.463,550.000,381.000,0,0,13,400,0.000,0.824,1.046,0.759,sheets
7,6.476,168.074,266.917,169.000,261.000,0,0,13,400,0.000,0.789,1.230,1.393,toothpaste
8,5.601,501.150,480.972,498.000,488.000,1,0,13,400,1.701,0.781,1.358,2.605,carnegie
9,4.748,241.872,181.749,239.000,183.000,0,0,13,400,0.000,0.754,0.997,0.454,gates
10,10.081,406.347,541.899,409.000,545.000,0,0,13,400,0.000,0.772,1.212,1.066,research
11,9.048,350.000,150.000,351.000,151.000,0,0,13,400,0.000,0.825
