something,A,2014-09-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.680,350.000,150.000,358.000,153.000,0,0,57,400,0.000,0.599,1.239,0.153,ba
1,1.592,293.653,541.899,294.000,550.000,0,0,57,400,0.000,0.539,0.281,0.153,ab
2,2.854,458.128,181.749,454.000,201.000,0,0,57,400,0.000,0.472,0.226,0.139,ba
3,3.905,198.850,480.972,212.000,482.000,0,0,57,400,0.000,0.357,0.159,0.151,ab
4,4.884,531.926,266.917,531.000,275.000,0,0,57,400,0.000,0.314,0.578,0.160,ba
5,5.928,152.036,378.463,173.000,373.000,0,0,57,400,0.000,0.424,0.154,0.150,ab
6,6.905,547.964,378.463,558.000,367.000,0,0,57,400,0.000,0.450,0.182,1.368,ba
7,7.954,168.074,266.917,159.000,270.000,0,0,57,400,0.000,0.459,0.299,0.161,ab
8,9.203,501.150,480.972,506.000,474.000,0,0,57,400,0.000,0.404,0.663,0.133,ba
9,10.559,241.872,181.749,234.000,184.000,0,0,57,400,0.000,0.276,0.686,0.141,ab
10,11.650,406.347,541.899,407.000,540.000,0,0,57,400,0.000,0.412,0.731,0.111,ba
11,12.712,350.000,150.000,354.000,154.000,0,0,57,400,0.000,0.363
