something,C,2014-09-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.136,350.000,150.000,349.000,155.000,0,0,13,400,0.000,0.533,0.651,0.079,ba
1,2.868,293.653,541.899,294.000,543.000,0,0,13,400,0.000,0.479,0.597,0.901,ab
2,4.282,458.128,181.749,458.000,186.000,0,0,13,400,0.000,0.531,0.496,0.111,ba
3,5.772,198.850,480.972,200.000,485.000,0,0,13,400,0.000,0.290,0.673,0.135,ab
4,6.968,531.926,266.917,534.000,267.000,0,0,13,400,0.000,0.507,0.502,0.171,ba
5,8.290,152.036,378.463,148.000,381.000,0,0,13,400,0.000,0.361,0.925,0.117,ab
6,9.629,547.964,378.463,547.000,381.000,0,0,13,400,0.000,0.459,0.594,0.166,ba
7,11.326,168.074,266.917,170.000,268.000,0,0,13,400,0.000,0.426,0.642,0.145,ab
8,14.415,501.150,480.972,505.000,486.000,1,0,13,400,0.333,0.447,0.615,0.134,ba
9,15.998,241.872,181.749,241.000,184.000,0,0,13,400,0.000,0.419,0.678,0.101,ab
10,17.509,406.347,541.899,407.000,546.000,0,0,13,400,0.000,0.434,0.764,0.169,ba
11,18.588,350.000,150.000,353.000,152.000,0,0,13,400,0.000,0.300
