something,A,2014-09-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.235,350.000,150.000,349.000,156.000,0,0,57,400,0.000,0.155,0.894,0.150,ba
1,0.848,293.653,541.899,297.000,553.000,0,0,57,400,0.000,0.130,0.204,0.145,ab
2,1.511,458.128,181.749,461.000,194.000,0,0,57,400,0.000,0.004,0.208,0.073,ba
3,2.309,198.850,480.972,222.000,470.000,0,0,57,400,0.000,0.001,0.153,0.108,ab
4,2.818,531.926,266.917,533.000,266.000,0,0,57,400,0.000,0.004,0.108,0.110,ba
5,3.561,152.036,378.463,165.000,369.000,0,0,57,400,0.000,0.005,0.108,0.191,ab
6,4.054,547.964,378.463,547.000,358.000,0,0,57,400,0.000,0.005,0.248,1.205,ba
7,4.508,168.074,266.917,151.000,269.000,0,0,57,400,0.000,0.285,0.500,0.180,ab
8,5.163,501.150,480.972,508.000,482.000,0,0,57,400,0.000,0.002,0.103,0.110,ba
9,5.792,241.872,181.749,246.000,192.000,0,0,57,400,0.000,0.004,0.093,0.074,ab
10,6.397,406.347,541.899,417.000,535.000,0,0,57,400,0.000,0.010,0.320,0.118,ba
11,6.899,350.000,150.000,358.000,158.000,0,0,57,400,0.000,0.002
