something,A,2014-09-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.395,350.000,150.000,355.000,164.000,0,0,57,400,0.000,0.181,0.618,0.116,ba
1,1.081,293.653,541.899,289.000,526.000,0,0,57,400,0.000,0.006,0.960,0.145,ab
2,1.702,458.128,181.749,450.000,194.000,0,0,57,400,0.000,0.006,0.532,0.156,ba
3,2.283,198.850,480.972,192.000,476.000,0,0,57,400,0.000,0.004,0.603,0.117,ab
4,2.946,531.926,266.917,527.000,265.000,0,0,57,400,0.000,0.005,0.553,0.110,ba
5,3.794,152.036,378.463,135.000,387.000,0,0,57,400,0.000,0.003,0.809,0.109,ab
6,4.463,547.964,378.463,550.000,376.000,0,0,57,400,0.000,0.007,0.416,0.115,ba
7,5.084,168.074,266.917,165.000,277.000,0,0,57,400,0.000,0.009,0.336,0.111,ab
8,5.740,501.150,480.972,499.000,469.000,0,0,57,400,0.000,0.001,0.298,0.116,ba
9,6.355,241.872,181.749,252.000,195.000,0,0,57,400,0.000,0.002,0.286,0.109,ab
10,6.913,406.347,541.899,407.000,540.000,0,0,57,400,0.000,0.005,0.302,0.417,ba
11,7.574,350.000,150.000,352.000,156.000,0,0,57,400,0.000,0.006
