StevenFatigue1,A,2014-08-18

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.340595960617,350.0,150.0,374,139,0,0,133,400,0,0.11997795105
1,0.861268043518,324.933353287,548.422940263,314,513,0,0,133,400,0,0.219352960587
2,1.23948478699,399.737977433,156.283367774,406,198,0,0,133,400,0,0.195293188095
3,1.6519818306,276.375089463,535.955297178,290,485,0,0,133,400,0,0.219831943512
4,2.31639385223,446.35073482,174.738663991,474,152,0,0,133,400,0,0.195591926575
5,2.74693989754,232.442949542,511.803398875,238,477,0,0,133,400,0,0.225538015366
6,3.20757699013,486.909421186,204.206274516,470,212,0,0,133,400,0,0.155308961868
7,3.59227609634,195.897351445,477.48479795,223,452,0,0,133,400,0,0.243212938309
8,3.97685003281,518.8655851,242.834641004,491,258,0,0,133,400,0,0.189433097839
9,4.44099783897,169.034589507,435.155858313,205,413,0,0,133,400,0,0.269040107727
10,4.81307578087,540.211303259,288.196601125,546,299,0,0,133,400,0,0.180291175842
11,5.23971056938,153.542549854,387.476262917,163,362,0,0,133,400,0,0.220072031021
12,5.74665164948,549.605345686,337.441896094,589,374,0,0,133,400,0,0.207283973694
13,6.07949757576,150.394654314,337.441896094,212,331,0,0,133,400,0,0.233029127121
14,6.46006059647,546.457450146,387.476262917,496,390,0,0,133,400,0,0.249496936798
15,6.81003642082,159.788696741,288.196601125,188,266,0,0,133,400,0,0.209464073181
16,7.150349617,530.965410493,435.155858313,516,427,0,0,133,400,0,0.186134815216
17,7.52475571632,181.1344149,242.834641004,216,252,0,0,133,400,0,0.195694923401
18,7.91309094429,504.102648555,477.48479795,514,485,0,0,133,400,0,0.201190948486
19,8.70350575447,213.090578814,204.206274516,281,226,1,0,133,400,5.3207960995,0.19003200531
20,9.10584998131,467.557050458,511.803398875,432,470,0,0,133,400,0,0.227583885193
21,9.4200387001,253.64926518,174.738663991,264,205,0,0,133,400,0,0.195566177368
22,9.83288574219,423.624910537,535.955297178,401,546,0,0,133,400,0,0.219655990601
23,10.2450296879,300.262022567,156.283367774,289,133,0,0,133,400,0,0.257452011108
24,10.5755848885,375.066646713,548.422940263,390,568,0,0,133,400,0,0.217737913132
25,11.0043196678,350.0,150.0,367,164,0,0,133,400,0,0.185417175293
