StevenFatigue1,B,2014-08-18

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.601467847824,350.0,150.0,355,176,0,0,58,400,0,0.000895977020264
1,1.19190001488,324.933353287,548.422940263,325,561,0,0,58,400,0,0.226094961166
2,1.70428490639,399.737977433,156.283367774,394,148,0,0,58,400,0,0.173586130142
3,2.35066390038,276.375089463,535.955297178,290,519,0,0,58,400,0,0.211637973785
4,3.21108388901,446.35073482,174.738663991,436,178,0,0,58,400,0,0.141473054886
5,3.66142368317,232.442949542,511.803398875,236,509,0,0,58,400,0,0.265797138214
6,4.56321263313,486.909421186,204.206274516,482,200,0,0,58,400,0,0.155995130539
7,4.9897916317,195.897351445,477.48479795,194,475,0,0,58,400,0,0.23562002182
8,5.40862059593,518.8655851,242.834641004,519,253,0,0,58,400,0,0.205235958099
9,5.8291323185,169.034589507,435.155858313,175,447,0,0,58,400,0,0.211500167847
10,6.39958238602,540.211303259,288.196601125,524,290,0,0,58,400,0,0.177552938461
11,7.14114046097,153.542549854,387.476262917,164,393,0,0,58,400,0,0.00437092781067
12,7.71156072617,549.605345686,337.441896094,542,332,0,0,58,400,0,0.181552886963
13,8.20212674141,150.394654314,337.441896094,142,334,0,0,58,400,0,0.219883918762
14,8.70842170715,546.457450146,387.476262917,521,394,0,0,58,400,0,0.195629119873
15,9.15862679482,159.788696741,288.196601125,171,294,0,0,58,400,0,0.241473913193
16,9.73663377762,530.965410493,435.155858313,517,432,0,0,58,400,0,0.179811954498
17,10.2265655994,181.1344149,242.834641004,186,248,0,0,58,400,0,0.19414305687
18,10.784914732,504.102648555,477.48479795,497,468,0,0,58,400,0,0.180059909821
19,11.2808356285,213.090578814,204.206274516,212,193,0,0,58,400,0,0.265621185303
20,11.8032906055,467.557050458,511.803398875,468,518,0,0,58,400,0,0.19608092308
21,12.2918937206,253.64926518,174.738663991,259,163,0,0,58,400,0,0.203430891037
22,12.7583386898,423.624910537,535.955297178,434,541,0,0,58,400,0,0.211519002914
23,13.3627688885,300.262022567,156.283367774,317,165,0,0,58,400,0,0.235580921173
24,13.8813157082,375.066646713,548.422940263,362,540,0,0,58,400,0,0.195551156998
25,14.4874784946,350.0,150.0,354,147,0,0,58,400,0,0.127291202545
