StevenX250Y250jl,C,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,1.66794109344,350.0,50.0,347,52,0,0,19,600,0
1,4.32466602325,312.400029931,647.634410394,306,651,0,0,19,600,0
2,6.04459190369,424.606966149,59.4250516614,425,60,0,0,19,600,0
3,7.82248997688,239.562634195,628.932945766,233,629,0,0,19,600,0
4,9.96420502663,494.526102231,87.1079959868,485,90,1,0,19,600,0.955416159978
5,11.8156330585,173.664424312,592.705098312,171,592,0,0,19,600,0
6,14.4167220592,555.364131779,131.309411774,541,134,1,0,19,600,5.61395041586
7,16.2057189941,118.846027167,541.227196925,123,538,0,0,19,600,0
8,18.5000069141,603.298377651,189.251961506,601,180,1,0,19,600,0.533170067657
9,19.865240097,78.5518842602,477.73378747,80,472,0,0,19,600,0
10,23.0624899864,635.316954889,257.294901688,627,257,0,0,19,600,0
11,25.0890219212,55.3138247814,406.214394376,59,405,0,0,19,600,0
12,26.1880559921,649.408018528,331.162844141,645,331,0,0,19,600,0
13,27.4985239506,50.5919814715,331.162844141,42,329,0,0,19,600,0
14,30.2911019325,644.686175219,406.214394376,635,405,1,0,19,600,0.762005125246
15,32.5762870312,64.6830451115,257.294901688,74,255,1,0,19,600,0.595427147895
16,34.3332381248,621.44811574,477.73378747,621,481,0,0,19,600,0
17,35.6570010185,96.7016223494,189.251961506,105,186,0,0,19,600,0
18,37.5188651085,581.153972833,541.227196925,576,535,0,0,19,600,0
19,38.8590779305,144.635868221,131.309411774,146,134,0,0,19,600,0
20,40.6256079674,526.335575688,592.705098312,520,597,0,0,19,600,0
21,42.4479589462,205.473897769,87.1079959868,205,85,0,0,19,600,0
22,45.6399381161,460.437365805,628.932945766,473,626,1,0,19,600,3.90046312255
23,47.3682339191,275.393033851,59.4250516614,274,64,0,0,19,600,0
24,49.6165759563,387.599970069,647.634410394,388,653,0,0,19,600,0
25,51.2040319443,350.0,50.0,347,48,0,0,19,600,0
