Stevent3k7,C,2014-08-12

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,1.81959009171,350.0,50.0,351,60,1,0,19,600,1.04987562112,0.00260901451111
1,3.52361011505,312.400029931,647.634410394,310,649,0,0,19,600,0,0.00126004219055
2,4.48766303062,424.606966149,59.4250516614,421,58,0,0,19,600,0,0.00225901603699
3,5.86279511452,239.562634195,628.932945766,246,630,0,0,19,600,0,0.00101590156555
4,7.06198120117,494.526102231,87.1079959868,497,83,0,0,19,600,0,0.00198101997375
5,8.5673661232,173.664424312,592.705098312,169,593,0,0,19,600,0,0.00192403793335
6,9.5999751091,555.364131779,131.309411774,557,133,0,0,19,600,0,0.000427007675171
7,11.0705020428,118.846027167,541.227196925,111,549,1,0,19,600,2.04430214899,0.00139093399048
8,13.3917431831,603.298377651,189.251961506,600,187,0,0,19,600,0,0.000993967056274
9,14.7275791168,78.5518842602,477.73378747,78,479,0,0,19,600,0,0.0013689994812
10,16.0204722881,635.316954889,257.294901688,629,260,0,0,19,600,0,0.0012218952179
11,17.2092962265,55.3138247814,406.214394376,53,408,0,0,19,600,0,0.00104403495789
12,18.3823032379,649.408018528,331.162844141,653,331,0,0,19,600,0,0.00183606147766
13,19.6773641109,50.5919814715,331.162844141,49,335,0,0,19,600,0,0.00113105773926
14,21.2600421906,644.686175219,406.214394376,635,404,1,0,19,600,0.936072303318,0.00220489501953
15,22.4408121109,64.6830451115,257.294901688,61,252,0,0,19,600,0,0.00402307510376
16,24.5531930923,621.44811574,477.73378747,618,488,1,0,19,600,1.82980248555,0.000883102416992
17,25.7774839401,96.7016223494,189.251961506,99,185,0,0,19,600,0,0.00103306770325
18,27.7801558971,581.153972833,541.227196925,609,524,1,0,19,600,23.7441222646,0.00148296356201
19,29.0898909569,144.635868221,131.309411774,144,133,0,0,19,600,0,0.000978946685791
20,30.8093161583,526.335575688,592.705098312,528,591,0,0,19,600,0,0.000722885131836
21,32.1830203533,205.473897769,87.1079959868,209,88,0,0,19,600,0,0.00148391723633
22,33.8032181263,460.437365805,628.932945766,464,625,0,0,19,600,0,0.00195407867432
23,35.0478861332,275.393033851,59.4250516614,271,61,0,0,19,600,0,0.00109195709229
24,36.5730521679,387.599970069,647.634410394,383,648,0,0,19,600,0,0.00218200683594
25,38.5541620255,350.0,50.0,352,54,0,0,19,600,0,0.000702142715454
