scf2,B,2014-08-12

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.632565975189,350.0,150.0,355,153,0,0,58,400,0,0.226037979126
1,1.17907571793,324.933353287,548.422940263,336,554,0,0,58,400,0,0.17511510849
2,1.68172597885,399.737977433,156.283367774,405,154,0,0,58,400,0,0.183761835098
3,2.10607481003,276.375089463,535.955297178,285,544,0,0,58,400,0,0.174987077713
4,2.8207681179,446.35073482,174.738663991,443,185,0,0,58,400,0,0.135852813721
5,4.22108316422,232.442949542,511.803398875,245,490,0,0,58,400,0,0.175055027008
6,4.88728404045,486.909421186,204.206274516,497,202,0,0,58,400,0,0.192039966583
7,5.91453909874,195.897351445,477.48479795,193,488,0,0,58,400,0,0.207534074783
8,6.4409570694,518.8655851,242.834641004,524,234,0,0,58,400,0,0.231163978577
9,6.92175197601,169.034589507,435.155858313,183,425,0,0,58,400,0,0.177567958832
10,7.41768217087,540.211303259,288.196601125,539,287,0,0,58,400,0,0.119565963745
11,7.93817806244,153.542549854,387.476262917,153,402,0,0,58,400,0,0.177622079849
12,8.53900909424,549.605345686,337.441896094,544,338,0,0,58,400,0,0.183568000793
13,9.39787912369,150.394654314,337.441896094,179,328,1,0,58,400,1.12333320946,0.165158987045
14,9.75995802879,546.457450146,387.476262917,546,366,0,0,58,400,0,0.183121919632
15,10.4016902447,159.788696741,288.196601125,162,285,0,0,58,400,0,0.15261387825
16,11.1819562912,530.965410493,435.155858313,520,426,0,0,58,400,0,0.159676074982
17,11.8045723438,181.1344149,242.834641004,187,227,0,0,58,400,0,0.171618938446
18,12.7029793262,504.102648555,477.48479795,502,479,0,0,58,400,0,0.153518915176
19,13.596265316,213.090578814,204.206274516,217,205,0,0,58,400,0,0.14529800415
20,14.4230241776,467.557050458,511.803398875,479,511,0,0,58,400,0,0.151388168335
21,14.969066143,253.64926518,174.738663991,263,171,0,0,58,400,0,0.143507003784
22,15.7794961929,423.624910537,535.955297178,418,549,0,0,58,400,0,0.0136849880219
23,16.7057123184,300.262022567,156.283367774,299,152,0,0,58,400,0,0.153590917587
24,17.4420893192,375.066646713,548.422940263,387,542,0,0,58,400,0,0.143764972687
25,18.873758316,350.0,150.0,358,185,1,0,58,400,6.90264614203,0.0042450428009
