StevenTrackpadjl,A,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,0.487221956253,350.0,150.0,370,170,0,0,133,400,0
1,1.54892396927,324.933353287,548.422940263,313,584,0,0,133,400,0
2,2.41694092751,399.737977433,156.283367774,398,189,0,0,133,400,0
3,3.29827785492,276.375089463,535.955297178,304,489,0,0,133,400,0
4,4.08611893654,446.35073482,174.738663991,466,157,0,0,133,400,0
5,4.89102888107,232.442949542,511.803398875,267,505,0,0,133,400,0
6,5.48036503792,486.909421186,204.206274516,502,197,0,0,133,400,0
7,6.02022695541,195.897351445,477.48479795,221,456,0,0,133,400,0
8,6.49492502213,518.8655851,242.834641004,541,248,0,0,133,400,0
9,8.67915892601,169.034589507,435.155858313,236,408,1,0,133,400,6.26207057122
10,9.54490494728,540.211303259,288.196601125,488,300,0,0,133,400,0
11,10.170539856,153.542549854,387.476262917,178,362,0,0,133,400,0
12,10.6899359226,549.605345686,337.441896094,565,318,0,0,133,400,0
13,11.4490828514,150.394654314,337.441896094,182,328,0,0,133,400,0
14,12.1369440556,546.457450146,387.476262917,510,401,0,0,133,400,0
15,12.8368449211,159.788696741,288.196601125,167,264,0,0,133,400,0
16,13.4439759254,530.965410493,435.155858313,500,461,0,0,133,400,0
17,14.1063489914,181.1344149,242.834641004,211,225,0,0,133,400,0
18,14.6924219131,504.102648555,477.48479795,484,483,0,0,133,400,0
19,15.2962648869,213.090578814,204.206274516,258,217,0,0,133,400,0
20,15.8859829903,467.557050458,511.803398875,473,516,0,0,133,400,0
21,16.51638484,253.64926518,174.738663991,297,177,0,0,133,400,0
22,17.113576889,423.624910537,535.955297178,410,503,0,0,133,400,0
23,17.6802530289,300.262022567,156.283367774,316,161,0,0,133,400,0
24,18.2401659489,375.066646713,548.422940263,371,560,0,0,133,400,0
25,18.8045158386,350.0,150.0,352,158,0,0,133,400,0
