ZhenA85B20NewT1,A,2014-08-19

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.523350000381,350.0,150.0,334,160,0,0,133,400,0,0.00050687789917
1,1.21413779259,324.933353287,548.422940263,340,513,0,0,133,400,0,0.00163722038269
2,1.77998185158,399.737977433,156.283367774,361,164,0,0,133,400,0,0.000293970108032
3,2.35438990593,276.375089463,535.955297178,289,480,0,0,133,400,0,0.00130391120911
4,2.86430096626,446.35073482,174.738663991,423,202,0,0,133,400,0,0.00276899337769
5,3.50638389587,232.442949542,511.803398875,278,508,0,0,133,400,0,0.000399112701416
6,4.08524799347,486.909421186,204.206274516,460,230,0,0,133,400,0,0.000326871871948
7,4.63528609276,195.897351445,477.48479795,234,468,0,0,133,400,0,0.00172996520996
8,5.14335894585,518.8655851,242.834641004,488,206,0,0,133,400,0,0.001797914505
9,5.7156393528,169.034589507,435.155858313,174,471,0,0,133,400,0,0.000399827957153
10,6.3037981987,540.211303259,288.196601125,490,274,0,0,133,400,0,0.001060962677
11,6.81811451912,153.542549854,387.476262917,190,370,0,0,133,400,0,0.000779867172241
12,7.34283232689,549.605345686,337.441896094,546,303,0,0,133,400,0,0.001708984375
13,7.89243245125,150.394654314,337.441896094,174,302,0,0,133,400,0,0.0018150806427
14,8.49838018417,546.457450146,387.476262917,559,369,0,0,133,400,0,0.000728130340576
15,9.15647220612,159.788696741,288.196601125,171,288,0,0,133,400,0,0.000360012054443
16,9.76180028915,530.965410493,435.155858313,506,449,0,0,133,400,0,0.00201201438904
17,10.3622522354,181.1344149,242.834641004,178,279,0,0,133,400,0,0.00142884254456
18,10.9410803318,504.102648555,477.48479795,549,467,0,0,133,400,0,0.000339031219482
19,11.6272993088,213.090578814,204.206274516,234,180,0,0,133,400,0,0.00152897834778
20,12.2996273041,467.557050458,511.803398875,522,506,0,0,133,400,0,0.00440406799316
21,12.9017362595,253.64926518,174.738663991,288,172,0,0,133,400,0,0.000556945800781
22,13.5168743134,423.624910537,535.955297178,450,503,0,0,133,400,0,0.000701904296875
23,14.1083154678,300.262022567,156.283367774,282,156,0,0,133,400,0,0.000902891159058
24,14.6591823101,375.066646713,548.422940263,374,542,0,0,133,400,0,0.0010302066803
25,15.2411162853,350.0,150.0,337,154,0,0,133,400,0,0.00119996070862
