ZhenA85B20NewT1,C,2014-08-19

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,1.28110694885,350.0,50.0,357,55,0,0,19,600,0,0.00852990150452
1,4.20351409912,312.400029931,647.634410394,321,655,1,0,19,600,2.32304709129,0.000278949737549
2,5.84298992157,424.606966149,59.4250516614,420,57,0,0,19,600,0,0.00218105316162
3,7.21153020859,239.562634195,628.932945766,243,628,0,0,19,600,0,0.00098991394043
4,9.55266833305,494.526102231,87.1079959868,496,88,0,0,19,600,0,0.00206589698792
5,11.1271932125,173.664424312,592.705098312,177,596,0,0,19,600,0,0.00231909751892
6,13.8153040409,555.364131779,131.309411774,552,122,1,0,19,600,0.898612538828,0.00259900093079
7,16.4588983059,118.846027167,541.227196925,128,547,1,0,19,600,1.82222130479,0.00397682189941
8,18.4574811459,603.298377651,189.251961506,120,542,1,0,19,600,589.338115534,0.00222110748291
9,20.2831881046,78.5518842602,477.73378747,74,482,0,0,19,600,0,0.00219511985779
10,23.1871840954,635.316954889,257.294901688,612,272,1,0,19,600,18.5666519849,0.00148296356201
11,24.5608103275,55.3138247814,406.214394376,59,407,0,0,19,600,0,0.000795841217041
12,26.0318593979,649.408018528,331.162844141,644,331,0,0,19,600,0,0.00173878669739
13,27.878767252,50.5919814715,331.162844141,59,326,1,0,19,600,0.86659694128,0.000543117523193
14,29.429220438,644.686175219,406.214394376,642,412,0,0,19,600,0,0.000775814056396
15,32.408898592,64.6830451115,257.294901688,59,247,1,0,19,600,2.75933682205,0.00092601776123
16,34.8877165318,621.44811574,477.73378747,619,484,0,0,19,600,0,0.0016770362854
17,36.4579894543,96.7016223494,189.251961506,96,195,0,0,19,600,0,0.000307083129883
18,38.5640933514,581.153972833,541.227196925,571,546,1,0,19,600,2.21975104378,0.00198411941528
19,41.2791292667,144.635868221,131.309411774,589,539,1,0,19,600,594.051488133,0.000901937484741
20,43.6012144089,526.335575688,592.705098312,528,591,0,0,19,600,0,0.00109696388245
21,49.7637512684,205.473897769,87.1079959868,216,79,1,0,19,600,4.28677639948,0.00233817100525
22,51.5591812134,460.437365805,628.932945766,458,628,0,0,19,600,0,0.000292062759399
23,54.6284012794,275.393033851,59.4250516614,280,49,1,0,19,600,2.39762428076,0.000438928604126
24,57.5782241821,387.599970069,647.634410394,397,646,1,0,19,600,0.541061787629,0.00034499168396
25,59.2874281406,350.0,50.0,394,639,1,0,19,600,581.641177027,0.000297069549561
