ZhenA85B20T2,A,2014-08-19

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.772764205933,350.0,150.0,297,146,0,0,133,400,0,0.000752925872803
1,1.6017742157,324.933353287,548.422940263,326,519,0,0,133,400,0,0.00088906288147
2,2.24903297424,399.737977433,156.283367774,382,131,0,0,133,400,0,0.00146102905273
3,3.00119113922,276.375089463,535.955297178,275,538,0,0,133,400,0,0.00143384933472
4,3.57605433464,446.35073482,174.738663991,446,232,0,0,133,400,0,0.000363826751709
5,4.12229824066,232.442949542,511.803398875,206,513,0,0,133,400,0,0.00234007835388
6,4.61831855774,486.909421186,204.206274516,493,198,0,0,133,400,0,0.00157785415649
7,5.08740139008,195.897351445,477.48479795,141,495,0,0,133,400,0,0.00181603431702
8,5.78597164154,518.8655851,242.834641004,549,213,0,0,133,400,0,0.000722885131836
9,6.47393965721,169.034589507,435.155858313,165,406,0,0,133,400,0,0.00162291526794
10,7.97561049461,540.211303259,288.196601125,468,267,1,0,133,400,9.25801098634,0.000900030136108
11,8.60404968262,153.542549854,387.476262917,126,402,0,0,133,400,0,0.00113582611084
12,9.14701676369,549.605345686,337.441896094,559,356,0,0,133,400,0,0.000524997711182
13,9.72000265121,150.394654314,337.441896094,131,366,0,0,133,400,0,0.000298023223877
14,10.2612206936,546.457450146,387.476262917,490,419,0,0,133,400,0,0.00121998786926
15,11.200262785,159.788696741,288.196601125,552,388,1,0,133,400,338.710297412,0.00185704231262
16,11.882617712,530.965410493,435.155858313,546,426,0,0,133,400,0,0.000992059707642
17,12.4570815563,181.1344149,242.834641004,195,275,0,0,133,400,0,0.00243711471558
18,12.9939973354,504.102648555,477.48479795,473,499,0,0,133,400,0,0.00290513038635
19,14.5791945457,213.090578814,204.206274516,244,267,1,0,133,400,3.9888868195,0.000500917434692
20,15.532936573,467.557050458,511.803398875,539,568,1,0,133,400,24.8963861614,0.00094199180603
21,16.3843724728,253.64926518,174.738663991,289,184,0,0,133,400,0,0.00209712982178
22,16.9809844494,423.624910537,535.955297178,438,545,0,0,133,400,0,0.002760887146
23,17.5831303596,300.262022567,156.283367774,355,167,0,0,133,400,0,0.000897169113159
24,18.1473741531,375.066646713,548.422940263,413,547,0,0,133,400,0,0.000235080718994
25,18.680270195,350.0,150.0,371,157,0,0,133,400,0,0.000781059265137
