X250Y150,A,2014-08-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width, distance, errorMargin
0,0.80931687355,350.0,150.0,371,109,0,0,133,400,0
1,1.70880079269,324.933353287,548.422940263,332,563,0,0,133,400,0
2,2.56448984146,399.737977433,156.283367774,379,127,0,0,133,400,0
3,3.39609789848,276.375089463,535.955297178,267,575,0,0,133,400,0
4,4.13349795341,446.35073482,174.738663991,441,177,0,0,133,400,0
5,4.95098900795,232.442949542,511.803398875,250,537,0,0,133,400,0
6,5.74011397362,486.909421186,204.206274516,495,187,0,0,133,400,0
7,6.57360386848,195.897351445,477.48479795,181,487,0,0,133,400,0
8,7.32548189163,518.8655851,242.834641004,512,231,0,0,133,400,0
9,8.03733491898,169.034589507,435.155858313,159,442,0,0,133,400,0
10,8.85950088501,540.211303259,288.196601125,207,415,1,0,133,400,290.523315627
11,9.66005182266,153.542549854,387.476262917,176,426,0,0,133,400,0
12,11.6207718849,549.605345686,337.441896094,391,351,1,0,133,400,93.1837864281
13,12.5608248711,150.394654314,337.441896094,202,327,0,0,133,400,0
14,13.5378727913,546.457450146,387.476262917,545,373,0,0,133,400,0
15,14.6209249496,159.788696741,288.196601125,198,299,0,0,133,400,0
16,15.4608168602,530.965410493,435.155858313,557,467,0,0,133,400,0
17,16.2923429012,181.1344149,242.834641004,139,253,0,0,133,400,0
18,17.1364068985,504.102648555,477.48479795,486,488,0,0,133,400,0
19,17.8904988766,213.090578814,204.206274516,220,193,0,0,133,400,0
20,18.8046739101,467.557050458,511.803398875,248,230,1,0,133,400,291.23725173
21,19.6770169735,253.64926518,174.738663991,243,176,0,0,133,400,0
22,20.546148777,423.624910537,535.955297178,424,543,0,0,133,400,0
23,21.2626957893,300.262022567,156.283367774,287,148,0,0,133,400,0
24,22.1848077774,375.066646713,548.422940263,363,556,0,0,133,400,0
25,22.8857438564,350.0,150.0,338,169,0,0,133,400,0
