X250Y150,B,2014-08-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width, distance, errorMargin
0,1.39088797569,350.0,150.0,350,349,1,0,58,400,170.0
1,2.6356010437,324.933353287,548.422940263,310,531,0,0,58,400,0
2,3.83099484444,399.737977433,156.283367774,411,121,1,0,58,400,8.03713263463
3,5.03767490387,276.375089463,535.955297178,267,537,0,0,58,400,0
4,5.880204916,446.35073482,174.738663991,425,173,0,0,58,400,0
5,7.03908801079,232.442949542,511.803398875,236,509,0,0,58,400,0
6,8.02803182602,486.909421186,204.206274516,256,488,1,0,58,400,336.866149591
7,9.42457294464,195.897351445,477.48479795,203,462,0,0,58,400,0
8,12.4959728718,518.8655851,242.834641004,495,270,1,0,58,400,7.15968586085
9,13.7921779156,169.034589507,435.155858313,175,438,0,0,58,400,0
10,15.1317059994,540.211303259,288.196601125,536,297,0,0,58,400,0
11,16.4254369736,153.542549854,387.476262917,159,374,0,0,58,400,0
12,17.5194249153,549.605345686,337.441896094,229,381,1,0,58,400,294.550762784
13,18.6437909603,150.394654314,337.441896094,147,342,0,0,58,400,0
14,19.7360179424,546.457450146,387.476262917,547,371,0,0,58,400,0
15,21.5599789619,159.788696741,288.196601125,468,291,1,0,58,400,279.224052439
16,23.0724539757,530.965410493,435.155858313,204,294,1,0,58,400,327.133901777
17,23.9765999317,181.1344149,242.834641004,190,258,0,0,58,400,0
18,25.0911810398,504.102648555,477.48479795,508,478,0,0,58,400,0
19,26.0574400425,213.090578814,204.206274516,225,197,0,0,58,400,0
20,27.2348618507,467.557050458,511.803398875,471,517,0,0,58,400,0
21,28.53824687,253.64926518,174.738663991,255,199,0,0,58,400,0
22,29.7292919159,423.624910537,535.955297178,354,317,1,0,58,400,200.758678464
23,30.7625498772,300.262022567,156.283367774,316,179,0,0,58,400,0
24,31.9180908203,375.066646713,548.422940263,366,216,1,0,58,400,303.546561094
25,32.9446308613,350.0,150.0,364,141,0,0,58,400,0
