ZhenX250Y200,A,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,2.04318785667,350.0,150.0,319,162,0,0,133,400,0
1,2.89885807037,324.933353287,548.422940263,369,575,0,0,133,400,0
2,3.76612401009,399.737977433,156.283367774,395,174,0,0,133,400,0
3,4.57238101959,276.375089463,535.955297178,249,553,0,0,133,400,0
4,5.30806398392,446.35073482,174.738663991,486,167,0,0,133,400,0
5,6.2278649807,232.442949542,511.803398875,251,495,0,0,133,400,0
6,6.96746087074,486.909421186,204.206274516,495,208,0,0,133,400,0
7,7.7537958622,195.897351445,477.48479795,185,506,0,0,133,400,0
8,8.52161693573,518.8655851,242.834641004,502,259,0,0,133,400,0
9,9.31367897987,169.034589507,435.155858313,149,459,0,0,133,400,0
10,10.1187250614,540.211303259,288.196601125,561,279,0,0,133,400,0
11,10.9055168629,153.542549854,387.476262917,144,388,0,0,133,400,0
12,11.6955668926,549.605345686,337.441896094,569,304,0,0,133,400,0
13,12.4784638882,150.394654314,337.441896094,104,352,0,0,133,400,0
14,13.4666810036,546.457450146,387.476262917,585,368,0,0,133,400,0
15,14.3148710728,159.788696741,288.196601125,195,315,0,0,133,400,0
16,15.1451909542,530.965410493,435.155858313,502,423,0,0,133,400,0
17,15.9351558685,181.1344149,242.834641004,174,289,0,0,133,400,0
18,16.8445448875,504.102648555,477.48479795,555,437,0,0,133,400,0
19,17.8138999939,213.090578814,204.206274516,229,243,0,0,133,400,0
20,18.5533418655,467.557050458,511.803398875,456,506,0,0,133,400,0
21,19.4828350544,253.64926518,174.738663991,457,506,1,0,133,400,322.697303935
22,20.3456609249,423.624910537,535.955297178,440,506,0,0,133,400,0
23,21.1040539742,300.262022567,156.283367774,291,219,0,0,133,400,0
24,21.9821119308,375.066646713,548.422940263,345,527,0,0,133,400,0
25,22.8040850163,350.0,150.0,331,197,0,0,133,400,0
