ZhenX250Y200JL,A,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,0.548141002655,350.0,150.0,324,117,0,0,133,400,0
1,1.49817109108,324.933353287,548.422940263,302,550,0,0,133,400,0
2,2.3712849617,399.737977433,156.283367774,393,184,0,0,133,400,0
3,3.12845802307,276.375089463,535.955297178,283,535,0,0,133,400,0
4,3.88527202606,446.35073482,174.738663991,437,179,0,0,133,400,0
5,4.58057498932,232.442949542,511.803398875,265,514,0,0,133,400,0
6,5.17977905273,486.909421186,204.206274516,465,233,0,0,133,400,0
7,5.84868907928,195.897351445,477.48479795,207,495,0,0,133,400,0
8,6.43587493896,518.8655851,242.834641004,523,247,0,0,133,400,0
9,7.1189031601,169.034589507,435.155858313,206,451,0,0,133,400,0
10,7.6780860424,540.211303259,288.196601125,576,264,0,0,133,400,0
11,8.31614208221,153.542549854,387.476262917,169,399,0,0,133,400,0
12,8.91817307472,549.605345686,337.441896094,517,321,0,0,133,400,0
13,9.52588701248,150.394654314,337.441896094,144,345,0,0,133,400,0
14,10.2241909504,546.457450146,387.476262917,332,378,1,0,133,400,148.666712561
15,11.0429091454,159.788696741,288.196601125,210,329,0,0,133,400,0
16,11.7732589245,530.965410493,435.155858313,517,432,0,0,133,400,0
17,12.5406620502,181.1344149,242.834641004,173,255,0,0,133,400,0
18,13.3245069981,504.102648555,477.48479795,490,459,0,0,133,400,0
19,14.0137851238,213.090578814,204.206274516,215,223,0,0,133,400,0
20,14.7825040817,467.557050458,511.803398875,439,532,0,0,133,400,0
21,15.5608260632,253.64926518,174.738663991,268,186,0,0,133,400,0
22,16.289741993,423.624910537,535.955297178,438,534,0,0,133,400,0
23,16.9406671524,300.262022567,156.283367774,296,158,0,0,133,400,0
24,17.5478260517,375.066646713,548.422940263,366,578,0,0,133,400,0
25,18.3756320477,350.0,150.0,361,583,1,0,133,400,367.139700328
