ZhenM,C,2014-08-12

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.839450120926,350.0,50.0,353,51,0,0,19,600,0,0.0112509727478
1,1.80087208748,312.400029931,647.634410394,318,642,0,0,19,600,0,0.117142915726
2,2.69895911217,424.606966149,59.4250516614,426,59,0,0,19,600,0,0.116208076477
3,3.63025999069,239.562634195,628.932945766,241,631,0,0,19,600,0,0.108278989792
4,4.43349909782,494.526102231,87.1079959868,501,81,0,0,19,600,0,0.0687370300293
5,5.3949379921,173.664424312,592.705098312,175,595,0,0,19,600,0,0.100556135178
6,6.15670204163,555.364131779,131.309411774,559,136,0,0,19,600,0,0.0945069789886
7,6.95765709877,118.846027167,541.227196925,120,550,0,0,19,600,0,0.134496927261
8,7.84154987335,603.298377651,189.251961506,607,188,0,0,19,600,0,0.149027109146
9,8.51521992683,78.5518842602,477.73378747,83,475,0,0,19,600,0,0.116014957428
10,9.26287698746,635.316954889,257.294901688,637,261,0,0,19,600,0,0.100341081619
11,9.96063876152,55.3138247814,406.214394376,55,407,0,0,19,600,0,0.110285997391
12,10.9480376244,649.408018528,331.162844141,647,330,0,0,19,600,0,0.0922651290894
13,11.8223028183,50.5919814715,331.162844141,54,333,0,0,19,600,0,0.0845680236816
14,13.3042867184,644.686175219,406.214394376,642,407,0,0,19,600,0,0.141278982162
15,14.1803407669,64.6830451115,257.294901688,62,252,0,0,19,600,0,0.156615972519
16,15.0917649269,621.44811574,477.73378747,618,480,0,0,19,600,0,0.165834903717
17,15.9650688171,96.7016223494,189.251961506,98,192,0,0,19,600,0,0.122620105743
18,16.7905986309,581.153972833,541.227196925,578,548,0,0,19,600,0,0.134404182434
19,17.5600817204,144.635868221,131.309411774,143,131,0,0,19,600,0,0.276696920395
20,18.5218696594,526.335575688,592.705098312,532,590,0,0,19,600,0,0.126532077789
21,19.9816734791,205.473897769,87.1079959868,212,94,1,0,19,600,0.491560969647,0.10592007637
22,21.102638483,460.437365805,628.932945766,462,623,0,0,19,600,0,0.13258600235
23,22.1061894894,275.393033851,59.4250516614,275,60,0,0,19,600,0,0.212865114212
24,23.0603234768,387.599970069,647.634410394,393,651,0,0,19,600,0,0.126067876816
25,24.0856053829,350.0,50.0,345,50,0,0,19,600,0,0.124454021454
