ZhenRelNo4T2,A,2014-08-26

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.403488874435,350.0,150.0,343,189,0,0,133,400,0,0.00387001037598
1,1.02829909325,324.933353287,548.422940263,350,541,0,0,133,400,0,0.000562906265259
2,2.74835300446,399.737977433,156.283367774,389,227,1,0,133,400,5.52724119313,0.000427961349487
3,3.37815213203,276.375089463,535.955297178,291,486,0,0,133,400,0,0.00180196762085
4,4.00532126427,446.35073482,174.738663991,479,169,0,0,133,400,0,0.000515937805176
5,4.60819411278,232.442949542,511.803398875,263,492,0,0,133,400,0,0.000430107116699
6,5.05729913712,486.909421186,204.206274516,491,202,0,0,133,400,0,0.000284910202026
7,6.64241623878,195.897351445,477.48479795,257,452,1,0,133,400,0.204294324418,0.00206995010376
8,7.30672240257,518.8655851,242.834641004,503,256,0,0,133,400,0,0.00135493278503
9,7.86121940613,169.034589507,435.155858313,154,469,0,0,133,400,0,0.00130081176758
10,8.49672341347,540.211303259,288.196601125,501,339,0,0,133,400,0,0.000329971313477
11,9.10696053505,153.542549854,387.476262917,211,387,0,0,133,400,0,0.000634908676147
12,9.75187563896,549.605345686,337.441896094,542,357,0,0,133,400,0,0.00159502029419
13,10.373462677,150.394654314,337.441896094,175,347,0,0,133,400,0,0.000303983688354
14,10.9476668835,546.457450146,387.476262917,559,386,0,0,133,400,0,0.00108480453491
15,11.4657230377,159.788696741,288.196601125,195,289,0,0,133,400,0,0.00158286094666
16,12.0871191025,530.965410493,435.155858313,531,433,0,0,133,400,0,0.00145483016968
17,12.7051169872,181.1344149,242.834641004,161,232,0,0,133,400,0,0.000730037689209
18,13.3705899715,504.102648555,477.48479795,510,489,0,0,133,400,0,0.000339031219482
19,14.0379030704,213.090578814,204.206274516,257,174,0,0,133,400,0,0.0011670589447
20,14.7383332253,467.557050458,511.803398875,485,479,0,0,133,400,0,0.000481843948364
21,15.3599011898,253.64926518,174.738663991,255,166,0,0,133,400,0,0.000285863876343
22,16.0385422707,423.624910537,535.955297178,403,545,0,0,133,400,0,0.000423908233643
23,16.6376905441,300.262022567,156.283367774,313,161,0,0,133,400,0,0.00134587287903
24,17.2348644733,375.066646713,548.422940263,387,542,0,0,133,400,0,0.00101399421692
25,17.798769474,350.0,150.0,341,149,0,0,133,400,0,0.00190210342407
