ZhenRelNo4T2,C,2014-08-26

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,1.30186200142,350.0,50.0,351,49,0,0,19,600,0,0.00888800621033
1,2.97045707703,312.400029931,647.634410394,313,650,0,0,19,600,0,0.000823020935059
2,4.45899605751,424.606966149,59.4250516614,427,53,0,0,19,600,0,0.000911951065063
3,5.8006401062,239.562634195,628.932945766,243,629,0,0,19,600,0,0.00128889083862
4,7.15217995644,494.526102231,87.1079959868,489,88,0,0,19,600,0,0.000943183898926
5,8.42828083038,173.664424312,592.705098312,181,588,0,0,19,600,0,0.00021505355835
6,10.1213428974,555.364131779,131.309411774,547,132,0,0,19,600,0,0.000400066375732
7,11.3941187859,118.846027167,541.227196925,117,538,0,0,19,600,0,0.00293803215027
8,15.1172027588,603.298377651,189.251961506,597,197,1,0,19,600,0.985071934116,0.00177001953125
9,16.458054781,78.5518842602,477.73378747,601,183,1,0,19,600,590.85001385,0.00137305259705
10,17.6249265671,635.316954889,257.294901688,633,260,0,0,19,600,0,0.000564098358154
11,19.2220666409,55.3138247814,406.214394376,53,407,0,0,19,600,0,0.00153803825378
12,20.592404604,649.408018528,331.162844141,647,329,0,0,19,600,0,0.000977993011475
13,22.0625305176,50.5919814715,331.162844141,45,333,0,0,19,600,0,0.000362157821655
14,23.4113175869,644.686175219,406.214394376,639,409,0,0,19,600,0,0.000974893569946
15,24.975903511,64.6830451115,257.294901688,69,255,0,0,19,600,0,0.00255298614502
16,26.5131604671,621.44811574,477.73378747,619,480,0,0,19,600,0,0.00039005279541
17,28.1439673901,96.7016223494,189.251961506,97,181,0,0,19,600,0,0.00149416923523
18,29.5557281971,581.153972833,541.227196925,581,535,0,0,19,600,0,0.00107312202454
19,31.0220153332,144.635868221,131.309411774,149,125,0,0,19,600,0,0.000550985336304
20,32.8038303852,526.335575688,592.705098312,523,591,0,0,19,600,0,0.00139689445496
21,34.2950675488,205.473897769,87.1079959868,203,82,0,0,19,600,0,0.00148987770081
22,38.6391465664,460.437365805,628.932945766,455,631,0,0,19,600,0,0.00229096412659
23,40.5450155735,275.393033851,59.4250516614,271,61,0,0,19,600,0,0.000613927841187
24,42.1680085659,387.599970069,647.634410394,387,645,0,0,19,600,0,0.00216507911682
25,43.6875123978,350.0,50.0,351,54,0,0,19,600,0,0.00134301185608
