ZhenTrackT1,B,2014-08-26

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,1.5246090889,350.0,150.0,364,160,0,0,58,400,0,0.351048946381
1,2.21577596664,324.933353287,548.422940263,319,553,0,0,58,400,0,0.175341129303
2,2.82750582695,399.737977433,156.283367774,401,176,0,0,58,400,0,0.154381036758
3,3.35665678978,276.375089463,535.955297178,296,530,0,0,58,400,0,0.166342973709
4,3.88876390457,446.35073482,174.738663991,438,200,0,0,58,400,0,0.0858399868011
5,4.47806572914,232.442949542,511.803398875,252,518,0,0,58,400,0,0.146844148636
6,4.99873876572,486.909421186,204.206274516,490,220,0,0,58,400,0,0.10556602478
7,5.69960474968,195.897351445,477.48479795,204,473,0,0,58,400,0,0.116050004959
8,6.6698474884,518.8655851,242.834641004,489,253,1,0,58,400,2.54818056407,0.114987134933
9,7.43844246864,169.034589507,435.155858313,163,434,0,0,58,400,0,0.156713962555
10,8.17908263206,540.211303259,288.196601125,532,289,0,0,58,400,0,0.164875030518
11,8.90839552879,153.542549854,387.476262917,157,376,0,0,58,400,0,0.186721086502
12,9.70972633362,549.605345686,337.441896094,546,317,0,0,58,400,0,0.12405705452
13,10.4396514893,150.394654314,337.441896094,163,337,0,0,58,400,0,0.265621900558
14,11.1487035751,546.457450146,387.476262917,530,392,0,0,58,400,0,0.175850868225
15,11.9080336094,159.788696741,288.196601125,173,284,0,0,58,400,0,0.167484045029
16,12.558842659,530.965410493,435.155858313,520,430,0,0,58,400,0,0.154371023178
17,13.3888576031,181.1344149,242.834641004,177,257,0,0,58,400,0,0.134871959686
18,14.0199744701,504.102648555,477.48479795,513,470,0,0,58,400,0,0.145698070526
19,14.6209654808,213.090578814,204.206274516,220,203,0,0,58,400,0,0.124777078629
20,16.5438485146,467.557050458,511.803398875,490,533,1,0,58,400,1.87040465195,0.138252973557
21,18.1274924278,253.64926518,174.738663991,454,491,1,0,58,400,345.381689719,0.0776000022888
22,18.8481416702,423.624910537,535.955297178,425,540,0,0,58,400,0,0.175649881363
23,19.5293467045,300.262022567,156.283367774,308,183,0,0,58,400,0,0.165009975433
24,20.4772927761,375.066646713,548.422940263,370,544,0,0,58,400,0,0.156544923782
25,21.1565725803,350.0,150.0,362,154,0,0,58,400,0,0.206797122955
