ZhenAdjustFalse11,C,2014-08-15

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,3.01164579391,350.0,50.0,344,59,1,0,19,600,1.81665382639,0.00439715385437
1,5.56472706795,312.400029931,647.634410394,306,650,0,0,19,600,0,0.000691890716553
2,7.29815006256,424.606966149,59.4250516614,429,61,0,0,19,600,0,0.00156998634338
3,9.08589482307,239.562634195,628.932945766,245,626,0,0,19,600,0,0.00087308883667
4,11.07259202,494.526102231,87.1079959868,493,88,0,0,19,600,0,0.00156688690186
5,12.9116380215,173.664424312,592.705098312,178,590,0,0,19,600,0,0.00283312797546
6,15.6912360191,555.364131779,131.309411774,555,132,0,0,19,600,0,0.000263929367065
7,17.2217447758,118.846027167,541.227196925,125,540,0,0,19,600,0,0.000403165817261
8,18.934612751,603.298377651,189.251961506,605,192,0,0,19,600,0,0.00193309783936
9,21.1051216125,78.5518842602,477.73378747,78,481,0,0,19,600,0,0.000354051589966
10,23.2802026272,635.316954889,257.294901688,638,258,0,0,19,600,0,0.000519037246704
11,25.4376285076,55.3138247814,406.214394376,56,410,0,0,19,600,0,0.000999212265015
12,27.532813549,649.408018528,331.162844141,648,329,0,0,19,600,0,0.00034499168396
13,29.5185735226,50.5919814715,331.162844141,56,329,0,0,19,600,0,0.000613927841187
14,31.4905183315,644.686175219,406.214394376,644,410,0,0,19,600,0,0.000728130340576
15,33.9291312695,64.6830451115,257.294901688,62,251,0,0,19,600,0,0.00084400177002
16,36.169116497,621.44811574,477.73378747,624,486,0,0,19,600,0,0.000309944152832
17,38.0142612457,96.7016223494,189.251961506,92,189,0,0,19,600,0,0.000914096832275
18,40.3732733727,581.153972833,541.227196925,585,540,0,0,19,600,0,0.00184297561646
19,42.2232453823,144.635868221,131.309411774,152,128,0,0,19,600,0,0.000952959060669
20,44.1302292347,526.335575688,592.705098312,523,595,0,0,19,600,0,0.00268316268921
21,45.9227221012,205.473897769,87.1079959868,211,82,0,0,19,600,0,0.00218915939331
22,48.0175521374,460.437365805,628.932945766,457,635,0,0,19,600,0,0.000288009643555
23,50.4518940449,275.393033851,59.4250516614,270,59,0,0,19,600,0,0.000354051589966
24,53.1907501221,387.599970069,647.634410394,397,646,1,0,19,600,0.541061787629,0.00144290924072
25,55.5300681591,350.0,50.0,346,43,0,0,19,600,0,0.000323057174683
