ZhenX200Y250T0K10,A,2014-08-12

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.710838079453,350.0,150.0,310,147,0,0,133,400,0,0.00202894210815
1,1.605509758,324.933353287,548.422940263,305,533,0,0,133,400,0,0.00293517112732
2,2.48072195053,399.737977433,156.283367774,370,175,0,0,133,400,0,0.00160884857178
3,3.26336979866,276.375089463,535.955297178,266,514,0,0,133,400,0,0.00107717514038
4,4.03181815147,446.35073482,174.738663991,436,183,0,0,133,400,0,0.000343799591064
5,4.73289823532,232.442949542,511.803398875,226,478,0,0,133,400,0,0.000389814376831
6,5.45462608337,486.909421186,204.206274516,472,208,0,0,133,400,0,0.00200605392456
7,6.14174437523,195.897351445,477.48479795,454,222,1,0,133,400,297.165883825,0.000562906265259
8,6.84528326988,518.8655851,242.834641004,491,244,0,0,133,400,0,0.000427961349487
9,7.53664040565,169.034589507,435.155858313,188,419,0,0,133,400,0,0.00361394882202
10,8.18429636955,540.211303259,288.196601125,524,316,0,0,133,400,0,0.000395059585571
11,8.89834618568,153.542549854,387.476262917,514,321,1,0,133,400,300.536037651,0.000461101531982
12,9.59841108322,549.605345686,337.441896094,532,366,0,0,133,400,0,0.00120210647583
13,10.2974059582,150.394654314,337.441896094,151,345,0,0,133,400,0,0.00157713890076
14,10.9451808929,546.457450146,387.476262917,534,382,0,0,133,400,0,0.00104713439941
15,11.6931848526,159.788696741,288.196601125,153,304,0,0,133,400,0,0.000339984893799
16,12.4609427452,530.965410493,435.155858313,482,415,0,0,133,400,0,0.000336170196533
17,13.3577456474,181.1344149,242.834641004,174,247,0,0,133,400,0,0.0014591217041
18,14.1478424072,504.102648555,477.48479795,477,454,0,0,133,400,0,0.000441074371338
19,14.9118463993,213.090578814,204.206274516,218,229,0,0,133,400,0,0.000429153442383
20,15.6227812767,467.557050458,511.803398875,459,484,0,0,133,400,0,0.000366926193237
21,16.4249415398,253.64926518,174.738663991,261,211,0,0,133,400,0,0.00192284584045
22,17.1851284504,423.624910537,535.955297178,424,500,0,0,133,400,0,0.00165915489197
23,17.9367883205,300.262022567,156.283367774,292,192,0,0,133,400,0,0.00161194801331
24,18.7043404579,375.066646713,548.422940263,386,523,0,0,133,400,0,0.00147986412048
25,20.6053435802,350.0,150.0,303,197,1,0,133,400,0.468037431535,0.00124597549438
