ZhenX200Y250T0K10,C,2014-08-12

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,2.4127061367,350.0,50.0,339,48,1,0,19,600,2.1803398875,0.00391292572021
1,3.88888216019,312.400029931,647.634410394,318,630,1,0,19,600,9.50221864353,0.00133204460144
2,7.9779381752,424.606966149,59.4250516614,313,654,1,0,19,600,595.959076372,0.00214195251465
3,10.0203711987,239.562634195,628.932945766,168,589,1,0,19,600,72.9502945111,0.000885009765625
4,11.9523792267,494.526102231,87.1079959868,239,628,1,0,19,600,589.212127031,0.00102996826172
5,37.1781511307,173.664424312,592.705098312,178,588,0,0,19,600,0,0.00219702720642
6,41.8162631989,555.364131779,131.309411774,546,134,1,0,19,600,0.743009235923,0.00246000289917
7,46.1685750484,118.846027167,541.227196925,131,553,1,0,19,600,7.92093224001,0.00184512138367
8,48.3625559807,603.298377651,189.251961506,601,183,0,0,19,600,0,0.00109910964966
9,50.4628689289,78.5518842602,477.73378747,82,482,0,0,19,600,0,0.00108695030212
10,52.7339911461,635.316954889,257.294901688,631,254,0,0,19,600,0,0.00177693367004
11,56.6386420727,55.3138247814,406.214394376,50,405,0,0,19,600,0,0.00188899040222
12,60.0065391064,649.408018528,331.162844141,641,317,1,0,19,600,7.47060805627,0.00115299224854
13,62.1923930645,50.5919814715,331.162844141,649,332,1,0,19,600,589.408604107,0.00337505340576
14,65.5618312359,644.686175219,406.214394376,637,398,1,0,19,600,2.24960285748,0.000573873519897
15,67.5193431377,64.6830451115,257.294901688,63,261,0,0,19,600,0,0.000500917434692
16,70.210801363,621.44811574,477.73378747,614,477,0,0,19,600,0,0.000563859939575
17,72.2957613468,96.7016223494,189.251961506,90,194,0,0,19,600,0,0.000308990478516
18,74.6144304276,581.153972833,541.227196925,588,541,0,0,19,600,0,0.00318002700806
19,76.1561763287,144.635868221,131.309411774,140,130,0,0,19,600,0,0.00186705589294
20,79.7374873161,526.335575688,592.705098312,518,588,1,0,19,600,0.57182177938,0.000663042068481
21,82.2595803738,205.473897769,87.1079959868,210,87,0,0,19,600,0,0.00180196762085
22,96.5624742508,460.437365805,628.932945766,449,628,1,0,19,600,2.47535290829,0.00202393531799
23,98.503954649,275.393033851,59.4250516614,272,52,0,0,19,600,0,0.00361180305481
24,101.665952682,387.599970069,647.634410394,398,657,1,0,19,600,4.99553111608,0.00258588790894
25,104.24408865,350.0,50.0,353,47,0,0,19,600,0,0.00106811523438
