filename, meanMT, stdMT, meanDistance, stdDistance, errorRate,outlierRate, IDe, meanWidth, meanDist, ID, width, distance,TP 
FLT/P5/fingers/P5F1/P5F1fingersA,0.9789,4.3340,390.3721,14.0562,0.0909,0.0000,4.2555,21.5676,390.3721,3.0032,57.0000,400.0000,4.3472
FLT/P5/fingers/P5F1/P5F1fingersC,2.4548,4.9810,394.7992,4.9784,0.4545,0.0000,5.6538,8.0009,394.7992,4.9896,13.0000,400.0000,2.3031
FLT/P5/fingers/P5F1/P5F1fingersB,1.0745,2.9033,395.6892,6.2539,0.0000,0.0000,5.0044,12.7243,395.6892,3.9832,27.0000,400.0000,4.6576
FLT/P5/fingers/P5F4/P5F4fingersB,0.8065,2.6729,394.6307,5.2154,0.0000,0.0000,5.1167,11.7118,394.6307,3.9832,27.0000,400.0000,6.3439
FLT/P5/fingers/P5F4/P5F4fingersA,0.7538,2.2713,396.2978,10.3765,0.0000,0.0000,3.8327,29.9137,396.2978,3.0032,57.0000,400.0000,5.0844
FLT/P5/fingers/P5F4/P5F4fingersC,2.0713,3.3156,395.8263,5.0464,0.2727,0.0000,6.2263,5.3586,395.8263,4.9896,13.0000,400.0000,3.0060
FLT/P5/fingers/P5F2/P5F2fingersA,0.8121,2.9740,391.0636,12.4203,0.0000,0.0000,4.0383,25.3430,391.0636,3.0032,57.0000,400.0000,4.9728
FLT/P5/fingers/P5F2/P5F2fingersC,1.8432,3.1481,384.3929,35.2545,0.1818,0.0000,5.5548,8.3553,384.3929,4.9896,13.0000,400.0000,3.0136
FLT/P5/fingers/P5F2/P5F2fingersB,0.7499,2.4581,391.0221,13.1881,0.0909,0.0000,5.2962,10.2113,391.0221,3.9832,27.0000,400.0000,7.0625
FLT/P5/fingers/P5F8/P5F8fingersA,0.8111,2.0729,396.6502,6.5935,0.0000,0.0000,4.5244,18.0184,396.6502,3.0032,57.0000,400.0000,5.5782
FLT/P5/fingers/P5F8/P5F8fingersC,0.4517,1.8338,395.5481,2.6261,0.0909,0.0000,6.5509,4.2643,395.5481,4.9896,13.0000,400.0000,14.5027
FLT/P5/fingers/P5F8/P5F8fingersB,0.8500,2.0971,395.9137,3.7065,0.0000,0.0000,5.2080,11.0087,395.9137,3.9832,27.0000,400.0000,6.1271
FLT/P5/fingers/P5F5/P5F5fingersC,0.7782,2.1321,395.8960,3.2103,0.1818,0.0000,6.2870,5.1358,395.8960,4.9896,13.0000,400.0000,8.0787
FLT/P5/fingers/P5F5/P5F5fingersA,0.6150,1.7153,391.8258,10.2938,0.0000,0.0000,4.0192,25.7543,391.8258,3.0032,57.0000,400.0000,6.5352
FLT/P5/fingers/P5F5/P5F5fingersB,0.9938,2.1727,394.2366,4.3570,0.0909,0.0000,6.7256,3.7609,394.2366,3.9832,27.0000,400.0000,6.7675
