11p42,B,2014-08-30

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,1.59345793724,350.0,150.0,347,157,0,0,27,400,0,0.00388193130493
1,2.82604002953,324.933353287,548.422940263,323,553,0,0,27,400,0,0.00103807449341
2,4.16004395485,399.737977433,156.283367774,406,158,0,0,27,400,0,0.000802040100098
3,5.14069986343,276.375089463,535.955297178,279,547,0,0,27,400,0,0.000927925109863
4,6.14284682274,446.35073482,174.738663991,452,167,0,0,27,400,0,0.000724077224731
5,7.9188747406,232.442949542,511.803398875,230,526,1,0,27,400,1.40525896904,0.0011510848999
6,9.35653471947,486.909421186,204.206274516,480,207,0,0,27,400,0,0.00125908851624
7,10.5733766556,195.897351445,477.48479795,198,472,0,0,27,400,0,0.000838041305542
8,11.7296946049,518.8655851,242.834641004,520,251,0,0,27,400,0,0.000972032546997
9,12.8219797611,169.034589507,435.155858313,159,437,0,0,27,400,0,0.00107192993164
10,13.8702707291,540.211303259,288.196601125,547,295,0,0,27,400,0,0.000977039337158
11,14.9629936218,153.542549854,387.476262917,159,395,0,0,27,400,0,0.000694036483765
12,15.9975996017,549.605345686,337.441896094,542,337,0,0,27,400,0,0.000865936279297
13,18.3981328011,150.394654314,337.441896094,148,341,0,0,27,400,0,0.000844955444336
14,19.861115694,546.457450146,387.476262917,547,403,1,0,27,400,2.53321516499,0.000869989395142
15,21.4023497105,159.788696741,288.196601125,148,291,0,0,27,400,0,0.000797986984253
16,22.6209597588,530.965410493,435.155858313,542,439,0,0,27,400,0,0.000890970230103
17,23.7287018299,181.1344149,242.834641004,187,233,0,0,27,400,0,0.000685930252075
18,24.645761013,504.102648555,477.48479795,503,477,0,0,27,400,0,0.000682830810547
19,25.7163190842,213.090578814,204.206274516,206,195,0,0,27,400,0,0.000650882720947
20,27.0279312134,467.557050458,511.803398875,460,517,0,0,27,400,0,0.0012059211731
21,29.8903641701,253.64926518,174.738663991,241,166,1,0,27,400,2.37426934644,0.000998020172119
22,31.1655402184,423.624910537,535.955297178,422,530,0,0,27,400,0,0.00118398666382
23,32.3099684715,300.262022567,156.283367774,293,157,0,0,27,400,0,0.00119280815125
24,33.5812735558,375.066646713,548.422940263,372,549,0,0,27,400,0,0.00104284286499
25,35.6881065369,350.0,150.0,335,152,1,0,27,400,2.13274595042,0.000852108001709
