11p42,C,2014-08-30

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,8.0839650631,350.0,150.0,351,153,0,0,13,400,0,2.02005386353
1,10.1931471825,324.933353287,548.422940263,329,549,0,0,13,400,0,0.000878095626831
2,11.7860150337,399.737977433,156.283367774,394,157,0,0,13,400,0,0.000688076019287
3,13.3158397675,276.375089463,535.955297178,277,533,0,0,13,400,0,0.000990152359009
4,15.1501338482,446.35073482,174.738663991,450,176,0,0,13,400,0,0.00103807449341
5,16.9907495975,232.442949542,511.803398875,236,510,0,0,13,400,0,0.00108313560486
6,19.3547346592,486.909421186,204.206274516,485,205,0,0,13,400,0,0.000715970993042
7,20.6776585579,195.897351445,477.48479795,192,480,0,0,13,400,0,0.000795125961304
8,22.8353796005,518.8655851,242.834641004,513,247,1,0,13,400,1.19411593832,0.000637054443359
9,25.3926234245,169.034589507,435.155858313,159,436,1,0,13,400,4.07003285782,0.000919103622437
10,26.9904484749,540.211303259,288.196601125,542,288,0,0,13,400,0,0.000633001327515
11,28.9478545189,153.542549854,387.476262917,159,387,0,0,13,400,0,0.000720977783203
12,30.5668513775,549.605345686,337.441896094,547,341,0,0,13,400,0,0.000706911087036
13,31.9815692902,150.394654314,337.441896094,148,341,0,0,13,400,0,0.000893115997314
14,33.091997385,546.457450146,387.476262917,547,387,0,0,13,400,0,0.000859975814819
15,35.1675550938,159.788696741,288.196601125,159,284,0,0,13,400,0,0.000752210617065
16,36.791847229,530.965410493,435.155858313,531,433,0,0,13,400,0,0.000824928283691
17,38.8763954639,181.1344149,242.834641004,185,240,0,0,13,400,0,0.000285863876343
18,40.7956502438,504.102648555,477.48479795,503,477,0,0,13,400,0,0.000837087631226
19,44.0266244411,213.090578814,204.206274516,208,203,0,0,13,400,0,0.00121688842773
20,47.1204545498,467.557050458,511.803398875,465,506,1,0,13,400,0.34176202246,0.000850915908813
21,50.0976705551,253.64926518,174.738663991,249,174,0,0,13,400,0,0.000988006591797
22,51.9432034492,423.624910537,535.955297178,423,530,0,0,13,400,0,0.00103211402893
23,53.6173253059,300.262022567,156.283367774,296,157,0,0,13,400,0,0.000790119171143
24,55.228312254,375.066646713,548.422940263,372,549,0,0,13,400,0,0.00100302696228
25,58.2292673588,350.0,150.0,354,157,1,0,13,400,2.0622577483,0.000905990600586
