11p21,A,2014-08-30

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,1.52573275566,350.0,150.0,351,132,0,0,57,400,0,0.0126740932465
1,2.94535303116,324.933353287,548.422940263,338,572,0,0,57,400,0,0.000933885574341
2,4.00750684738,399.737977433,156.283367774,404,177,0,0,57,400,0,0.000715017318726
3,5.26025795937,276.375089463,535.955297178,297,525,0,0,57,400,0,0.000984907150269
4,6.38466906548,446.35073482,174.738663991,453,171,0,0,57,400,0,0.000650882720947
5,7.50693821907,232.442949542,511.803398875,241,505,0,0,57,400,0,0.000968933105469
6,9.50018310547,486.909421186,204.206274516,484,226,0,0,57,400,0,0.0011191368103
7,10.9296247959,195.897351445,477.48479795,205,471,0,0,57,400,0,0.000738143920898
8,12.8689239025,518.8655851,242.834641004,510,262,0,0,57,400,0,0.000700950622559
9,14.1987690926,169.034589507,435.155858313,168,434,0,0,57,400,0,0.000707864761353
10,15.6306872368,540.211303259,288.196601125,544,288,0,0,57,400,0,0.00108194351196
11,16.9071712494,153.542549854,387.476262917,168,400,0,0,57,400,0,0.00103998184204
12,20.0858242512,549.605345686,337.441896094,517,339,1,0,57,400,4.64255282698,0.000699996948242
13,21.4203391075,150.394654314,337.441896094,138,335,0,0,57,400,0,0.000842094421387
14,23.6307590008,546.457450146,387.476262917,532,385,0,0,57,400,0,0.00074315071106
15,24.9626357555,159.788696741,288.196601125,173,290,0,0,57,400,0,0.00109815597534
16,28.5217988491,530.965410493,435.155858313,534,437,0,0,57,400,0,0.000676870346069
17,31.3413629532,181.1344149,242.834641004,187,246,0,0,57,400,0,0.000931024551392
18,32.6799106598,504.102648555,477.48479795,510,492,0,0,57,400,0,0.00124311447144
19,34.0702507496,213.090578814,204.206274516,234,205,0,0,57,400,0,0.000860929489136
20,35.4404709339,467.557050458,511.803398875,466,518,0,0,57,400,0,0.000859975814819
21,36.7693538666,253.64926518,174.738663991,260,171,0,0,57,400,0,0.00109601020813
22,38.1088378429,423.624910537,535.955297178,426,528,0,0,57,400,0,0.000921010971069
23,39.4560437202,300.262022567,156.283367774,304,179,0,0,57,400,0,0.000972032546997
24,42.0029957294,375.066646713,548.422940263,377,575,0,0,57,400,0,0.000823020935059
25,49.2556388378,350.0,150.0,364,168,0,0,57,400,0,0.000720977783203
