11p24,B,2014-08-30

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,2.38724899292,350.0,150.0,341,147,0,0,27,400,0,7.08333897591
1,5.04820871353,324.933353287,548.422940263,341,551,1,0,27,400,3.27201196793,0.00103712081909
2,6.81995368004,399.737977433,156.283367774,401,155,0,0,27,400,0,0.000818014144897
3,9.68448853493,276.375089463,535.955297178,281,528,0,0,27,400,0,0.00101017951965
4,11.6196527481,446.35073482,174.738663991,443,181,0,0,27,400,0,0.000656843185425
5,12.866579771,232.442949542,511.803398875,242,515,0,0,27,400,0,0.000770092010498
6,14.8459937572,486.909421186,204.206274516,484,205,0,0,27,400,0,0.0011990070343
7,16.0209646225,195.897351445,477.48479795,200,478,0,0,27,400,0,0.000755071640015
8,17.4684517384,518.8655851,242.834641004,521,244,0,0,27,400,0,0.000711917877197
9,20.6281785965,169.034589507,435.155858313,221,447,1,0,27,400,40.2981010921,0.000859975814819
10,22.3537623882,540.211303259,288.196601125,544,288,0,0,27,400,0,0.000984191894531
11,25.1448974609,153.542549854,387.476262917,166,382,1,0,27,400,0.607994696914,0.000905990600586
12,26.3631253242,549.605345686,337.441896094,547,343,0,0,27,400,0,0.000702142715454
13,28.5763912201,150.394654314,337.441896094,146,346,0,0,27,400,0,0.00096607208252
14,29.9977312088,546.457450146,387.476262917,547,387,0,0,27,400,0,0.000694036483765
15,31.5966451168,159.788696741,288.196601125,164,288,0,0,27,400,0,0.000501155853271
16,32.5784039497,530.965410493,435.155858313,531,432,0,0,27,400,0,0.00105404853821
17,33.8728089333,181.1344149,242.834641004,177,246,0,0,27,400,0,0.000810146331787
18,35.037279129,504.102648555,477.48479795,503,486,0,0,27,400,0,0.000856876373291
19,36.206330061,213.090578814,204.206274516,221,194,0,0,27,400,0,0.000756978988647
20,37.791779995,467.557050458,511.803398875,463,515,0,0,27,400,0,0.00111198425293
21,39.064699173,253.64926518,174.738663991,257,184,0,0,27,400,0,0.000946998596191
22,40.8552920818,423.624910537,535.955297178,430,528,0,0,27,400,0,0.000744104385376
23,42.4216809273,300.262022567,156.283367774,302,166,0,0,27,400,0,0.000671148300171
24,43.9099357128,375.066646713,548.422940263,380,559,0,0,27,400,0,0.00108003616333
25,45.5131037235,350.0,150.0,349,140,0,0,27,400,0,0.000924110412598
