11p11,C,2014-08-30

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,2.02905893326,350.0,150.0,357,151,1,0,13,400,1.07106781187,0.184914112091
1,3.37682890892,324.933353287,548.422940263,327,548,0,0,13,400,0,0.160737037659
2,5.71377563477,399.737977433,156.283367774,404,161,1,0,13,400,0.357000543859,0.126536130905
3,7.59347677231,276.375089463,535.955297178,281,534,0,0,13,400,0,0.110908985138
4,9.05856990814,446.35073482,174.738663991,448,180,0,0,13,400,0,0.136141777039
5,10.1714599133,232.442949542,511.803398875,234,512,0,0,13,400,0,0.160968065262
6,11.2204790115,486.909421186,204.206274516,491,207,0,0,13,400,0,0.0869979858398
7,12.1904368401,195.897351445,477.48479795,198,475,0,0,13,400,0,0.158935070038
8,13.319742918,518.8655851,242.834641004,519,244,0,0,13,400,0,0.109643936157
9,15.1966807842,169.034589507,435.155858313,175,430,1,0,13,400,1.88473191024,0.121114015579
10,16.8336269855,540.211303259,288.196601125,542,291,0,0,13,400,0,0.135076999664
11,18.1545219421,153.542549854,387.476262917,154,386,0,0,13,400,0,0.15257191658
12,19.6297209263,549.605345686,337.441896094,548,338,0,0,13,400,0,0.161071062088
13,21.4102287292,150.394654314,337.441896094,151,339,0,0,13,400,0,0.185351133347
14,23.177177906,546.457450146,387.476262917,544,389,0,0,13,400,0,0.166663885117
15,24.3812868595,159.788696741,288.196601125,161,290,0,0,13,400,0,0.175373077393
16,25.4700686932,530.965410493,435.155858313,535,434,0,0,13,400,0,0.141530990601
17,26.5589396954,181.1344149,242.834641004,181,245,0,0,13,400,0,0.177641153336
18,27.5336236954,504.102648555,477.48479795,504,479,0,0,13,400,0,0.142917871475
19,28.9124526978,213.090578814,204.206274516,216,209,0,0,13,400,0,0.119405031204
20,30.5971636772,467.557050458,511.803398875,468,508,0,0,13,400,0,0.183223009109
21,31.6354408264,253.64926518,174.738663991,259,177,0,0,13,400,0,0.135051012039
22,32.8677446842,423.624910537,535.955297178,426,536,0,0,13,400,0,0.129887104034
23,34.8577196598,300.262022567,156.283367774,298,161,0,0,13,400,0,0.0805549621582
24,36.1779527664,375.066646713,548.422940263,377,544,0,0,13,400,0,0.158788919449
25,37.1213746071,350.0,150.0,355,149,0,0,13,400,0,0.121339082718
