11p31,B,2014-08-30

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,1.68272995949,350.0,150.0,354,149,0,0,27,400,0,0.738878011703
1,3.09617996216,324.933353287,548.422940263,322,556,0,0,27,400,0,0.211319923401
2,4.19347715378,399.737977433,156.283367774,401,163,0,0,27,400,0,0.331903934479
3,5.26793718338,276.375089463,535.955297178,281,544,0,0,27,400,0,0.293365955353
4,6.93039512634,446.35073482,174.738663991,445,181,0,0,27,400,0,0.248704910278
5,8.0043361187,232.442949542,511.803398875,236,516,0,0,27,400,0,0.275536060333
6,9.26358032227,486.909421186,204.206274516,489,204,0,0,27,400,0,0.216044902802
7,10.5776305199,195.897351445,477.48479795,196,478,0,0,27,400,0,0.277902841568
8,12.4718153477,518.8655851,242.834641004,521,250,0,0,27,400,0,0.249782085419
9,13.5390734673,169.034589507,435.155858313,171,434,0,0,27,400,0,0.2902739048
10,14.6343035698,540.211303259,288.196601125,540,288,0,0,27,400,0,0.199359893799
11,15.6576945782,153.542549854,387.476262917,160,384,0,0,27,400,0,0.228162050247
12,16.5465974808,549.605345686,337.441896094,545,331,0,0,27,400,0,0.21869301796
13,17.93820858,150.394654314,337.441896094,150,341,0,0,27,400,0,0.298897981644
14,19.2949695587,546.457450146,387.476262917,544,392,0,0,27,400,0,0.783926963806
15,20.8946528435,159.788696741,288.196601125,161,289,0,0,27,400,0,0.307223796844
16,22.1605787277,530.965410493,435.155858313,539,436,0,0,27,400,0,0.346961021423
17,23.9405119419,181.1344149,242.834641004,189,237,0,0,27,400,0,0.274228811264
18,25.331540823,504.102648555,477.48479795,504,483,0,0,27,400,0,0.244119167328
19,26.7905006409,213.090578814,204.206274516,209,211,0,0,27,400,0,0.283889055252
20,28.2020075321,467.557050458,511.803398875,470,511,0,0,27,400,0,0.226968050003
21,29.3822894096,253.64926518,174.738663991,257,180,0,0,27,400,0,0.314787149429
22,30.3708684444,423.624910537,535.955297178,428,533,0,0,27,400,0,0.226824998856
23,31.8769004345,300.262022567,156.283367774,303,147,0,0,27,400,0,0.249232053757
24,33.0086975098,375.066646713,548.422940263,376,552,0,0,27,400,0,0.264292001724
25,34.0932743549,350.0,150.0,350,149,0,0,27,400,0,0.200067996979
