julianMousejl,B,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,0.774230957031,350.0,150.0,349,186,1,0,58,400,7.01388621074
1,1.67768096924,324.933353287,548.422940263,332,541,0,0,58,400,0
2,2.38172602654,399.737977433,156.283367774,408,171,0,0,58,400,0
3,3.15060305595,276.375089463,535.955297178,278,525,0,0,58,400,0
4,3.94975399971,446.35073482,174.738663991,436,180,0,0,58,400,0
5,4.63820815086,232.442949542,511.803398875,218,524,0,0,58,400,0
6,5.30222797394,486.909421186,204.206274516,498,209,0,0,58,400,0
7,5.93419694901,195.897351445,477.48479795,200,470,0,0,58,400,0
8,6.72622513771,518.8655851,242.834641004,519,238,0,0,58,400,0
9,7.34222006798,169.034589507,435.155858313,173,419,0,0,58,400,0
10,7.91015100479,540.211303259,288.196601125,539,285,0,0,58,400,0
11,8.43022608757,153.542549854,387.476262917,154,379,0,0,58,400,0
12,9.14217114449,549.605345686,337.441896094,563,343,0,0,58,400,0
13,9.83821392059,150.394654314,337.441896094,149,338,0,0,58,400,0
14,10.5261940956,546.457450146,387.476262917,557,386,0,0,58,400,0
15,11.1421689987,159.788696741,288.196601125,171,294,0,0,58,400,0
16,11.6941649914,530.965410493,435.155858313,527,433,0,0,58,400,0
17,12.286149025,181.1344149,242.834641004,186,239,0,0,58,400,0
18,12.9261751175,504.102648555,477.48479795,501,469,0,0,58,400,0
19,13.5821480751,213.090578814,204.206274516,234,210,0,0,58,400,0
20,14.2221720219,467.557050458,511.803398875,482,501,0,0,58,400,0
21,14.8621339798,253.64926518,174.738663991,259,186,0,0,58,400,0
22,15.5741341114,423.624910537,535.955297178,419,524,0,0,58,400,0
23,16.1336960793,300.262022567,156.283367774,308,171,0,0,58,400,0
24,16.8381650448,375.066646713,548.422940263,373,539,0,0,58,400,0
25,17.4220619202,350.0,150.0,351,155,0,0,58,400,0
