JulianX250Y150jl,B,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,1.06729006767,350.0,150.0,344,136,0,0,58,400,0
1,2.02707195282,324.933353287,548.422940263,320,554,0,0,58,400,0
2,3.23561406136,399.737977433,156.283367774,396,123,1,0,58,400,4.49261180749
3,4.2115650177,276.375089463,535.955297178,298,544,0,0,58,400,0
4,5.31741809845,446.35073482,174.738663991,429,165,0,0,58,400,0
5,6.41195201874,232.442949542,511.803398875,250,517,0,0,58,400,0
6,7.30470991135,486.909421186,204.206274516,471,196,0,0,58,400,0
7,8.14574503899,195.897351445,477.48479795,211,478,0,0,58,400,0
8,9.02848792076,518.8655851,242.834641004,517,247,0,0,58,400,0
9,9.63584804535,169.034589507,435.155858313,186,431,0,0,58,400,0
10,10.4801719189,540.211303259,288.196601125,182,431,1,0,58,400,356.626955117
11,11.6822559834,153.542549854,387.476262917,203,384,1,0,58,400,20.5794693274
12,12.7846639156,549.605345686,337.441896094,564,328,0,0,58,400,0
13,14.0302789211,150.394654314,337.441896094,163,340,0,0,58,400,0
14,15.1346690655,546.457450146,387.476262917,559,390,0,0,58,400,0
15,15.9785549641,159.788696741,288.196601125,155,272,0,0,58,400,0
16,16.7242050171,530.965410493,435.155858313,525,431,0,0,58,400,0
17,17.4220969677,181.1344149,242.834641004,165,231,0,0,58,400,0
18,18.2462379932,504.102648555,477.48479795,497,474,0,0,58,400,0
19,18.9668269157,213.090578814,204.206274516,236,192,0,0,58,400,0
20,19.7918219566,467.557050458,511.803398875,436,490,1,0,58,400,9.35668958789
21,20.7876479626,253.64926518,174.738663991,258,169,0,0,58,400,0
22,21.6169350147,423.624910537,535.955297178,429,548,0,0,58,400,0
23,22.5631690025,300.262022567,156.283367774,298,161,0,0,58,400,0
24,23.3778479099,375.066646713,548.422940263,380,551,0,0,58,400,0
25,24.1368689537,350.0,150.0,347,150,0,0,58,400,0
