JulianX300Y200jl,A,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,0.622252941132,350.0,150.0,345,161,0,0,133,400,0
1,1.50918197632,324.933353287,548.422940263,306,522,0,0,133,400,0
2,2.47144985199,399.737977433,156.283367774,424,183,0,0,133,400,0
3,3.23091888428,276.375089463,535.955297178,284,510,0,0,133,400,0
4,3.87999987602,446.35073482,174.738663991,482,193,0,0,133,400,0
5,4.57044196129,232.442949542,511.803398875,235,519,0,0,133,400,0
6,5.12992191315,486.909421186,204.206274516,484,217,0,0,133,400,0
7,5.79091787338,195.897351445,477.48479795,232,434,0,0,133,400,0
8,6.44825100899,518.8655851,242.834641004,504,259,0,0,133,400,0
9,7.08240294456,169.034589507,435.155858313,180,443,0,0,133,400,0
10,7.5664498806,540.211303259,288.196601125,525,309,0,0,133,400,0
11,8.05221199989,153.542549854,387.476262917,184,395,0,0,133,400,0
12,8.66835284233,549.605345686,337.441896094,524,339,0,0,133,400,0
13,9.28934288025,150.394654314,337.441896094,168,340,0,0,133,400,0
14,9.81227397919,546.457450146,387.476262917,528,367,0,0,133,400,0
15,10.4436128139,159.788696741,288.196601125,185,280,0,0,133,400,0
16,11.02926898,530.965410493,435.155858313,515,401,0,0,133,400,0
17,11.6563467979,181.1344149,242.834641004,179,257,0,0,133,400,0
18,12.341053009,504.102648555,477.48479795,521,457,0,0,133,400,0
19,13.005573988,213.090578814,204.206274516,242,222,0,0,133,400,0
20,13.7596879005,467.557050458,511.803398875,489,491,0,0,133,400,0
21,14.2663598061,253.64926518,174.738663991,275,214,0,0,133,400,0
22,15.0319449902,423.624910537,535.955297178,434,515,0,0,133,400,0
23,15.6267969608,300.262022567,156.283367774,320,172,0,0,133,400,0
24,16.3659667969,375.066646713,548.422940263,375,550,0,0,133,400,0
25,17.0105140209,350.0,150.0,355,159,0,0,133,400,0
