JulianX300Y300jl,C,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,1.96598696709,350.0,50.0,347,60,1,0,19,600,1.44030650891
1,14.0975210667,312.400029931,647.634410394,320,614,1,0,19,600,25.4823593687
2,16.1731238365,424.606966149,59.4250516614,310,654,1,0,19,600,596.519715519
3,18.0415549278,239.562634195,628.932945766,240,627,0,0,19,600,0
4,20.0916450024,494.526102231,87.1079959868,496,88,0,0,19,600,0
5,21.5965380669,173.664424312,592.705098312,175,594,0,0,19,600,0
6,23.7489368916,555.364131779,131.309411774,555,132,0,0,19,600,0
7,27.0053060055,118.846027167,541.227196925,141,489,1,0,19,600,47.7316367724
8,28.6569168568,603.298377651,189.251961506,608,195,0,0,19,600,0
9,30.9070589542,78.5518842602,477.73378747,74,476,0,0,19,600,0
10,32.672950983,635.316954889,257.294901688,640,262,0,0,19,600,0
11,35.1557340622,55.3138247814,406.214394376,72,387,1,0,19,600,16.4484065248
12,36.5273900032,649.408018528,331.162844141,647,331,0,0,19,600,0
13,38.1265108585,50.5919814715,331.162844141,58,329,0,0,19,600,0
14,39.8126740456,644.686175219,406.214394376,647,407,0,0,19,600,0
15,41.4891588688,64.6830451115,257.294901688,70,259,0,0,19,600,0
16,43.6380908489,621.44811574,477.73378747,621,473,0,0,19,600,0
17,45.2840628624,96.7016223494,189.251961506,101,185,0,0,19,600,0
18,46.8617959023,581.153972833,541.227196925,583,534,0,0,19,600,0
19,48.4390649796,144.635868221,131.309411774,142,135,0,0,19,600,0
20,50.6026089191,526.335575688,592.705098312,526,592,0,0,19,600,0
21,52.339329958,205.473897769,87.1079959868,201,88,0,0,19,600,0
22,54.4896588326,460.437365805,628.932945766,466,633,0,0,19,600,0
23,57.542719841,275.393033851,59.4250516614,267,63,1,0,19,600,0.122679038525
24,60.4210569859,387.599970069,647.634410394,369,589,1,0,19,600,52.5138437173
25,62.4904749393,350.0,50.0,355,52,0,0,19,600,0
