JulianX250Y200jl,C,2014-08-07

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin
0,1.31707501411,350.0,50.0,347,50,0,0,19,600,0
1,2.65013408661,312.400029931,647.634410394,315,645,0,0,19,600,0
2,3.99616217613,424.606966149,59.4250516614,421,61,0,0,19,600,0
3,7.33721518517,239.562634195,628.932945766,253,626,1,0,19,600,4.75372570096
4,9.16166806221,494.526102231,87.1079959868,495,92,0,0,19,600,0
5,10.6787359715,173.664424312,592.705098312,178,587,0,0,19,600,0
6,12.3299310207,555.364131779,131.309411774,560,131,0,0,19,600,0
7,13.8446331024,118.846027167,541.227196925,123,542,0,0,19,600,0
8,15.2780590057,603.298377651,189.251961506,605,188,0,0,19,600,0
9,16.6209230423,78.5518842602,477.73378747,80,476,0,0,19,600,0
10,18.4341959953,635.316954889,257.294901688,619,249,1,0,19,600,9.30432765333
11,19.6638410091,55.3138247814,406.214394376,244,380,1,0,19,600,181.498470312
12,20.9426221848,649.408018528,331.162844141,648,330,0,0,19,600,0
13,22.1753630638,50.5919814715,331.162844141,52,338,0,0,19,600,0
14,23.2137720585,644.686175219,406.214394376,648,403,0,0,19,600,0
15,25.7088301182,64.6830451115,257.294901688,64,258,0,0,19,600,0
16,27.2534270287,621.44811574,477.73378747,614,480,0,0,19,600,0
17,28.8939580917,96.7016223494,189.251961506,102,188,0,0,19,600,0
18,31.0713469982,581.153972833,541.227196925,576,535,0,0,19,600,0
19,32.9012269974,144.635868221,131.309411774,143,127,0,0,19,600,0
20,34.656826973,526.335575688,592.705098312,529,587,0,0,19,600,0
21,36.1050691605,205.473897769,87.1079959868,209,88,0,0,19,600,0
22,38.2003920078,460.437365805,628.932945766,468,626,0,0,19,600,0
23,39.806068182,275.393033851,59.4250516614,265,65,1,0,19,600,2.79386287848
24,41.529966116,387.599970069,647.634410394,395,649,0,0,19,600,0
25,42.8275060654,350.0,50.0,347,52,0,0,19,600,0
