P31FA2,A,2014-08-28

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,1.18210291862,350.0,150.0,338,154,0,0,57,400,0,0.00584006309509
1,2.87163066864,324.933353287,548.422940263,276,577,1,0,57,400,28.6667575139,0.000697135925293
2,3.92012786865,399.737977433,156.283367774,389,157,0,0,57,400,0,0.000460863113403
3,5.08731079102,276.375089463,535.955297178,275,526,0,0,57,400,0,0.000849008560181
4,6.26683783531,446.35073482,174.738663991,435,181,0,0,57,400,0,0.000842094421387
5,7.29322385788,232.442949542,511.803398875,216,505,0,0,57,400,0,0.00072979927063
6,8.43307781219,486.909421186,204.206274516,473,204,0,0,57,400,0,0.000792026519775
7,9.97365188599,195.897351445,477.48479795,172,493,1,0,57,400,0.492190170971,0.000814914703369
8,11.1116449833,518.8655851,242.834641004,514,246,0,0,57,400,0,0.000996112823486
9,12.4860916138,169.034589507,435.155858313,169,432,0,0,57,400,0,0.000768184661865
10,13.4007396698,540.211303259,288.196601125,562,280,0,0,57,400,0,0.00089693069458
11,14.7280948162,153.542549854,387.476262917,164,372,0,0,57,400,0,0.000402927398682
12,15.614331007,549.605345686,337.441896094,546,337,0,0,57,400,0,0.000999927520752
13,16.6912879944,150.394654314,337.441896094,159,338,0,0,57,400,0,0.00109696388245
14,17.6304380894,546.457450146,387.476262917,558,376,0,0,57,400,0,0.000840902328491
15,18.756688118,159.788696741,288.196601125,146,279,0,0,57,400,0,0.000746011734009
16,20.0805940628,530.965410493,435.155858313,210,310,1,0,57,400,316.503677198,0.000983953475952
17,21.1088981628,181.1344149,242.834641004,173,244,0,0,57,400,0,0.000783920288086
18,22.1116631031,504.102648555,477.48479795,504,472,0,0,57,400,0,0.000828981399536
19,23.1177561283,213.090578814,204.206274516,211,204,0,0,57,400,0,0.00102996826172
20,24.1123890877,467.557050458,511.803398875,473,488,0,0,57,400,0,0.000606060028076
21,25.1203842163,253.64926518,174.738663991,249,164,0,0,57,400,0,0.000937938690186
22,26.5805983543,423.624910537,535.955297178,391,553,1,0,57,400,8.8090570627,0.000988960266113
23,27.6194653511,300.262022567,156.283367774,291,146,0,0,57,400,0,0.00113987922668
24,28.6737983227,375.066646713,548.422940263,364,554,0,0,57,400,0,0.000925064086914
25,29.8613684177,350.0,150.0,354,153,0,0,57,400,0,0.000784873962402
