P31FA3,C,2014-08-28

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,11.0857181549,350.0,50.0,331,56,1,0,13,600,13.9248588452,0.00573301315308
1,17.7216861248,312.400029931,647.634410394,345,51,1,0,13,600,591.52437416,0.000331878662109
2,21.1202030182,424.606966149,59.4250516614,425,51,1,0,13,600,2.43421431463,0.000800132751465
3,26.6655910015,239.562634195,628.932945766,389,143,1,0,13,600,502.391929598,0.00076699256897
4,29.5395131111,494.526102231,87.1079959868,498,98,1,0,13,600,5.43257263854,0.000442981719971
5,31.9119529724,173.664424312,592.705098312,221,476,1,0,13,600,119.939416776,0.000554084777832
6,33.7778089046,555.364131779,131.309411774,556,132,0,0,13,600,0,0.00113797187805
7,38.1425721645,118.846027167,541.227196925,200,448,1,0,13,600,117.601284593,0.000732898712158
8,39.5052113533,603.298377651,189.251961506,600,191,0,0,13,600,0,0.00104784965515
9,41.4778642654,78.5518842602,477.73378747,253,386,1,0,13,600,191.097013799,0.00119805335999
10,43.3596713543,635.316954889,257.294901688,633,262,0,0,13,600,0,0.000985860824585
11,46.8331763744,55.3138247814,406.214394376,194,358,1,0,13,600,140.828073003,0.000927925109863
12,48.6423826218,649.408018528,331.162844141,646,333,0,0,13,600,0,0.000924825668335
13,51.6857538223,50.5919814715,331.162844141,50,341,1,0,13,600,3.85495192544,0.000703811645508
14,53.4267318249,644.686175219,406.214394376,649,408,0,0,13,600,0,0.000745058059692
15,55.2156236172,64.6830451115,257.294901688,258,347,1,0,13,600,207.11604752,0.000991106033325
16,58.4746587276,621.44811574,477.73378747,609,475,1,0,13,600,6.74477066879,0.000872850418091
17,62.2495148182,96.7016223494,189.251961506,103,193,1,0,13,600,1.32921234376,0.00109887123108
18,64.7737648487,581.153972833,541.227196925,584,538,0,0,13,600,0,0.000771999359131
19,68.5525779724,144.635868221,131.309411774,136,132,1,0,13,600,2.66343650267,0.000934839248657
20,70.5090031624,526.335575688,592.705098312,523,593,0,0,13,600,0,0.000834941864014
21,74.6039559841,205.473897769,87.1079959868,212,90,1,0,13,600,1.13818587144,0.00079607963562
22,76.7616071701,460.437365805,628.932945766,456,629,0,0,13,600,0,0.00066089630127
23,80.2465500832,275.393033851,59.4250516614,269,54,1,0,13,600,2.38463280908,0.00125503540039
24,82.0351531506,387.599970069,647.634410394,389,653,0,0,13,600,0,0.00113701820374
25,85.1427750587,350.0,50.0,343,47,1,0,13,600,1.61577310586,0.000977039337158
