P31FR2,B,2014-08-28

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.947177171707,350.0,150.0,349,155,0,0,27,400,0,0.00302386283875
1,2.69557929039,324.933353287,548.422940263,320,542,0,0,27,400,0,0.00075101852417
2,3.98908805847,399.737977433,156.283367774,404,165,0,0,27,400,0,0.00085711479187
3,6.5914580822,276.375089463,535.955297178,271,548,1,0,27,400,0.189634294197,0.000798940658569
4,8.13301897049,446.35073482,174.738663991,443,173,0,0,27,400,0,0.000965118408203
5,9.33219599724,232.442949542,511.803398875,234,520,0,0,27,400,0,0.000678062438965
6,10.8894300461,486.909421186,204.206274516,493,207,0,0,27,400,0,0.00159096717834
7,11.957406044,195.897351445,477.48479795,198,470,0,0,27,400,0,0.00106596946716
8,13.0129821301,518.8655851,242.834641004,508,249,0,0,27,400,0,0.000818967819214
9,14.3743100166,169.034589507,435.155858313,173,425,0,0,27,400,0,0.000941038131714
10,17.2521619797,540.211303259,288.196601125,545,282,0,0,27,400,0,0.000874996185303
11,18.4603691101,153.542549854,387.476262917,154,392,0,0,27,400,0,0.000488996505737
12,19.8981449604,549.605345686,337.441896094,550,334,0,0,27,400,0,0.000746965408325
13,21.0842161179,150.394654314,337.441896094,148,343,0,0,27,400,0,0.000813961029053
14,24.9712193012,546.457450146,387.476262917,547,395,0,0,27,400,0,0.000974893569946
15,26.886903286,159.788696741,288.196601125,210,357,1,0,27,400,72.1767730765,0.00102496147156
16,28.1129631996,530.965410493,435.155858313,542,442,0,0,27,400,0,0.000826120376587
17,29.262468338,181.1344149,242.834641004,182,238,0,0,27,400,0,0.000980854034424
18,30.5245192051,504.102648555,477.48479795,506,473,0,0,27,400,0,0.000946998596191
19,31.7021052837,213.090578814,204.206274516,219,215,0,0,27,400,0,0.00109910964966
20,33.1534481049,467.557050458,511.803398875,466,504,0,0,27,400,0,0.000935077667236
21,36.702709198,253.64926518,174.738663991,271,176,1,0,27,400,4.39652170214,0.000924825668335
22,38.4918143749,423.624910537,535.955297178,425,546,0,0,27,400,0,0.00103497505188
23,40.6309502125,300.262022567,156.283367774,308,159,0,0,27,400,0,0.00095009803772
24,44.4494769573,375.066646713,548.422940263,365,551,0,0,27,400,0,0.000773191452026
25,47.0383780003,350.0,150.0,341,142,0,0,27,400,0,0.000997066497803
