P32FR1,A,2014-08-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,2.24812984467,350.0,150.0,336,155,0,0,57,400,0,0.449918031693
1,3.54042196274,324.933353287,548.422940263,317,568,0,0,57,400,0,0.000748872756958
2,6.33991885185,399.737977433,156.283367774,358,167,1,0,57,400,15.0918201804,0.00106000900269
3,7.84632706642,276.375089463,535.955297178,283,545,0,0,57,400,0,0.00098991394043
4,9.00133109093,446.35073482,174.738663991,431,184,0,0,57,400,0,0.00161099433899
5,10.1493659019,232.442949542,511.803398875,431,184,1,0,57,400,355.249227789,0.000874042510986
6,11.2004320621,486.909421186,204.206274516,488,197,0,0,57,400,0,0.00098991394043
7,12.5267982483,195.897351445,477.48479795,488,197,1,0,57,400,376.963799831,0.00102186203003
8,13.6422843933,518.8655851,242.834641004,522,244,0,0,57,400,0,0.000870943069458
9,14.8981614113,169.034589507,435.155858313,160,442,0,0,57,400,0,0.0011899471283
10,18.386724472,540.211303259,288.196601125,512,283,1,0,57,400,0.685925029977,0.000792980194092
11,19.5825581551,153.542549854,387.476262917,150,398,0,0,57,400,0,0.00162816047668
12,20.614606142,549.605345686,337.441896094,545,333,0,0,57,400,0,0.00108218193054
13,21.9418261051,150.394654314,337.441896094,144,330,0,0,57,400,0,0.00113892555237
14,23.77171731,546.457450146,387.476262917,551,384,0,0,57,400,0,0.00101089477539
15,25.3110501766,159.788696741,288.196601125,146,285,0,0,57,400,0,0.0014979839325
16,29.8180112839,530.965410493,435.155858313,541,436,0,0,57,400,0,0.00142598152161
17,32.8447613716,181.1344149,242.834641004,191,242,0,0,57,400,0,0.00150895118713
18,34.6510751247,504.102648555,477.48479795,494,478,0,0,57,400,0,0.0014111995697
19,36.5871291161,213.090578814,204.206274516,212,207,0,0,57,400,0,0.00173306465149
20,38.3382880688,467.557050458,511.803398875,447,514,0,0,57,400,0,0.001296043396
21,46.1179840565,253.64926518,174.738663991,447,514,1,0,57,400,362.490410594,0.00133490562439
22,47.6189801693,423.624910537,535.955297178,431,529,0,0,57,400,0,0.00134801864624
23,55.2183997631,300.262022567,156.283367774,294,205,1,0,57,400,21.1174427474,0.001540184021
24,56.5213947296,375.066646713,548.422940263,365,538,0,0,57,400,0,0.00193405151367
25,66.3425467014,350.0,150.0,278,248,1,0,57,400,93.6059209085,0.00127005577087
