P32FR3,A,2014-08-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,0.922569036484,350.0,150.0,346,135,0,0,57,400,0,1.44366598129
1,2.22971916199,324.933353287,548.422940263,321,538,0,0,57,400,0,0.00106596946716
2,3.4924659729,399.737977433,156.283367774,400,161,0,0,57,400,0,0.00078010559082
3,4.64841890335,276.375089463,535.955297178,277,547,0,0,57,400,0,0.00101208686829
4,5.48536086082,446.35073482,174.738663991,444,163,0,0,57,400,0,0.00123596191406
5,6.83398389816,232.442949542,511.803398875,236,505,0,0,57,400,0,0.000921010971069
6,7.74335074425,486.909421186,204.206274516,469,203,0,0,57,400,0,0.000436067581177
7,8.79781794548,195.897351445,477.48479795,204,484,0,0,57,400,0,0.000902891159058
8,10.2453551292,518.8655851,242.834641004,499,239,0,0,57,400,0,0.00101590156555
9,15.7740550041,169.034589507,435.155858313,163,449,0,0,57,400,0,0.000663042068481
10,16.905559063,540.211303259,288.196601125,535,288,0,0,57,400,0,0.000694036483765
11,17.8736689091,153.542549854,387.476262917,168,382,0,0,57,400,0,0.00111794471741
12,18.9341990948,549.605345686,337.441896094,550,338,0,0,57,400,0,0.00103402137756
13,19.9769790173,150.394654314,337.441896094,144,346,0,0,57,400,0,0.000751972198486
14,20.9405090809,546.457450146,387.476262917,559,377,0,0,57,400,0,0.000898838043213
15,21.9152710438,159.788696741,288.196601125,142,293,0,0,57,400,0,0.000781059265137
16,22.820990324,530.965410493,435.155858313,556,435,0,0,57,400,0,0.000841856002808
17,24.0859982967,181.1344149,242.834641004,180,255,0,0,57,400,0,0.000861883163452
18,25.1285684109,504.102648555,477.48479795,509,466,0,0,57,400,0,0.000843048095703
19,26.7655172348,213.090578814,204.206274516,178,198,1,0,57,400,7.63518717342,0.000982999801636
20,27.9213163853,467.557050458,511.803398875,483,531,0,0,57,400,0,0.00106000900269
21,29.1434521675,253.64926518,174.738663991,254,174,0,0,57,400,0,0.000831127166748
22,30.4072232246,423.624910537,535.955297178,421,528,0,0,57,400,0,0.00122594833374
23,31.7802121639,300.262022567,156.283367774,285,156,0,1,57,400,0,0.00131607055664
24,32.959769249,375.066646713,548.422940263,371,562,0,0,57,400,0,0.00195503234863
25,33.9028809071,350.0,150.0,365,131,0,0,57,400,0,0.000866174697876
