P33FA1,B,2014-08-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,4.00835418701,350.0,150.0,340,161,1,0,27,400,1.86606874732,2.81033682823
1,5.33350324631,324.933353287,548.422940263,368,674,1,0,27,400,119.756672116,0.000782012939453
2,7.50161099434,399.737977433,156.283367774,322,510,1,0,27,400,349.158320419,0.000816106796265
3,8.50346326828,276.375089463,535.955297178,333,386,1,0,27,400,147.290273083,0.000913858413696
4,9.88932013512,446.35073482,174.738663991,279,536,1,0,27,400,385.140705454,0.00107407569885
5,11.6000993252,232.442949542,511.803398875,333,321,1,0,27,400,202.679524803,0.00085186958313
6,13.1703281403,486.909421186,204.206274516,237,507,1,0,27,400,379.605092924,0.00088906288147
7,15.5778970718,195.897351445,477.48479795,337,359,1,0,27,400,171.251471567,0.000986099243164
8,17.261600256,518.8655851,242.834641004,514,238,0,0,27,400,0,0.000933885574341
9,19.6440591812,169.034589507,435.155858313,364,329,1,0,27,400,208.99229163,0.000962972640991
10,21.5709972382,540.211303259,288.196601125,542,288,0,0,27,400,0,0.000855922698975
11,23.7594482899,153.542549854,387.476262917,248,335,1,0,27,400,95.0553934692,0.000833034515381
12,24.8761043549,549.605345686,337.441896094,159,381,1,0,27,400,380.026518818,0.00106287002563
13,27.7053422928,150.394654314,337.441896094,532,341,1,0,27,400,368.621933279,0.000916004180908
14,29.218328476,546.457450146,387.476262917,547,382,0,0,27,400,0,0.00103402137756
15,30.9469752312,159.788696741,288.196601125,186,291,1,0,27,400,13.360794066,0.000872135162354
16,32.396266222,530.965410493,435.155858313,542,433,0,0,27,400,0,0.000894069671631
17,34.036298275,181.1344149,242.834641004,187,248,0,0,27,400,0,0.00109601020813
18,35.0492682457,504.102648555,477.48479795,509,472,0,0,27,400,0,0.000638008117676
19,37.604899168,213.090578814,204.206274516,230,211,1,0,27,400,5.22315095675,0.000945091247559
20,40.8534498215,467.557050458,511.803398875,230,211,1,0,27,400,370.29627835,0.000810146331787
21,43.307259798,253.64926518,174.738663991,460,493,1,0,27,400,366.303181847,0.00105309486389
22,45.8235449791,423.624910537,535.955297178,273,191,1,0,27,400,363.406722476,0.000876903533936
23,47.0926027298,300.262022567,156.283367774,293,159,0,0,27,400,0,0.000827074050903
24,49.6068847179,375.066646713,548.422940263,320,219,1,0,27,400,320.993726216,0.001620054245
25,51.2050926685,350.0,150.0,351,153,0,0,27,400,0,0.000842094421387
