P33FA2,A,2014-08-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,2.11740708351,350.0,150.0,349,161,0,0,57,400,0,2.553647995
1,3.73301911354,324.933353287,548.422940263,339,556,0,0,57,400,0,0.00111103057861
2,4.8882060051,399.737977433,156.283367774,414,157,0,0,57,400,0,0.000754117965698
3,7.00184583664,276.375089463,535.955297178,221,429,1,0,57,400,92.44017655,0.000800132751465
4,8.03304672241,446.35073482,174.738663991,447,184,0,0,57,400,0,0.00104594230652
5,8.89042377472,232.442949542,511.803398875,241,517,0,0,57,400,0,0.000967025756836
6,9.80787873268,486.909421186,204.206274516,498,208,0,0,57,400,0,0.000823974609375
7,10.6026217937,195.897351445,477.48479795,192,498,0,0,57,400,0,0.000730991363525
8,11.3433747292,518.8655851,242.834641004,537,227,0,0,57,400,0,0.00103402137756
9,12.0344307423,169.034589507,435.155858313,160,435,0,0,57,400,0,0.000890970230103
10,12.7925457954,540.211303259,288.196601125,544,294,0,0,57,400,0,0.000895977020264
11,15.5155630112,153.542549854,387.476262917,428,327,1,0,57,400,253.041403208,0.000979900360107
12,17.0834958553,549.605345686,337.441896094,574,311,1,0,57,400,7.97600628432,0.000998020172119
13,18.1929459572,150.394654314,337.441896094,311,351,1,0,57,400,133.176608862,0.000752925872803
14,19.3557748795,546.457450146,387.476262917,547,384,0,0,57,400,0,0.00100708007812
15,19.8396987915,159.788696741,288.196601125,141,287,0,0,57,400,0,0.001296043396
16,21.0875368118,530.965410493,435.155858313,137,284,1,0,57,400,393.967816507,0.00104308128357
17,23.2901678085,181.1344149,242.834641004,416,419,1,0,57,400,265.591683763,0.00124001502991
18,24.6460187435,504.102648555,477.48479795,498,477,0,0,57,400,0,0.000849962234497
19,25.639122963,213.090578814,204.206274516,210,217,0,0,57,400,0,0.000988960266113
20,26.4973037243,467.557050458,511.803398875,458,518,0,0,57,400,0,0.000702142715454
21,27.3616158962,253.64926518,174.738663991,241,181,0,0,57,400,0,0.00107884407043
22,28.3646869659,423.624910537,535.955297178,427,528,0,0,57,400,0,0.000663042068481
23,29.3260667324,300.262022567,156.283367774,307,161,0,0,57,400,0,0.000854015350342
24,30.3680448532,375.066646713,548.422940263,374,394,1,0,57,400,126.426624047,0.000921010971069
25,31.4276378155,350.0,150.0,395,514,1,0,57,400,338.771045749,0.000744104385376
