P33FA2,C,2014-08-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,4.87758994102,350.0,150.0,406,262,1,0,13,400,119.21980674,0.0084969997406
1,8.52449083328,324.933353287,548.422940263,372,484,1,0,13,400,73.7846129583,0.000909090042114
2,10.1088178158,399.737977433,156.283367774,394,157,0,0,13,400,0,0.000945091247559
3,12.3663306236,276.375089463,535.955297178,394,157,1,0,13,400,390.790545298,0.000728130340576
4,14.8258638382,446.35073482,174.738663991,449,172,0,0,13,400,0,0.000980854034424
5,17.303378582,232.442949542,511.803398875,382,240,1,0,13,400,304.23281416,0.000835180282593
6,22.008408308,486.909421186,204.206274516,498,203,1,0,13,400,5.15598658311,0.000933170318604
7,25.3173742294,195.897351445,477.48479795,413,261,1,0,13,400,300.592934937,0.00100016593933
8,26.9808623791,518.8655851,242.834641004,198,483,1,0,13,400,394.791870381,0.000996828079224
9,30.8015003204,169.034589507,435.155858313,474,262,1,0,13,400,344.694814426,0.000842094421387
10,33.0018973351,540.211303259,288.196601125,542,284,0,0,13,400,0,0.000968933105469
11,58.9619064331,153.542549854,387.476262917,394,329,1,0,13,400,241.465671671,0.00072193145752
12,62.0022346973,549.605345686,337.441896094,159,395,1,0,13,400,388.82334202,0.00105381011963
13,64.132519722,150.394654314,337.441896094,320,339,1,0,13,400,163.612502407,0.000823974609375
14,65.5751917362,546.457450146,387.476262917,547,387,0,0,13,400,0,0.000859975814819
15,66.9756326675,159.788696741,288.196601125,159,289,0,0,13,400,0,0.000735998153687
16,70.7010076046,530.965410493,435.155858313,381,380,1,0,13,400,153.78671112,0.000900030136108
17,73.2892794609,181.1344149,242.834641004,181,245,0,0,13,400,0,0.000989198684692
18,74.6972904205,504.102648555,477.48479795,382,388,1,0,13,400,145.38225077,0.000564098358154
19,78.028878212,213.090578814,204.206274516,503,473,1,0,13,400,389.344836,0.00102019309998
20,80.6962182522,467.557050458,511.803398875,469,507,0,0,13,400,0,0.000885963439941
21,87.9035682678,253.64926518,174.738663991,326,263,1,0,13,400,108.125773877,0.000956058502197
22,91.4818549156,423.624910537,535.955297178,436,529,1,0,13,400,8.19573872852,0.000933170318604
23,95.6126878262,300.262022567,156.283367774,427,527,1,0,13,400,385.782256276,0.00096607208252
24,100.668067932,375.066646713,548.422940263,369,337,1,0,13,400,205.509961637,0.000792980194092
25,103.54950285,350.0,150.0,351,157,1,0,13,400,1.07106781187,0.000792980194092
