P33FR1,B,2014-08-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,3.59163784981,350.0,150.0,355,154,0,0,27,400,0,5.02107405663
1,6.32072806358,324.933353287,548.422940263,308,558,1,0,27,400,6.45401055708,0.000995874404907
2,7.89775180817,399.737977433,156.283367774,399,165,0,0,27,400,0,0.000923156738281
3,9.24056577682,276.375089463,535.955297178,266,532,0,0,27,400,0,0.00115013122559
4,10.3675746918,446.35073482,174.738663991,454,175,0,0,27,400,0,0.000524997711182
5,11.8789887428,232.442949542,511.803398875,235,514,0,0,27,400,0,0.000820875167847
6,12.8477838039,486.909421186,204.206274516,485,204,0,0,27,400,0,0.00116991996765
7,16.9439537525,195.897351445,477.48479795,201,491,1,0,27,400,1.44637354968,0.000900030136108
8,18.272996664,518.8655851,242.834641004,514,246,0,0,27,400,0,0.000914096832275
9,24.1534647942,169.034589507,435.155858313,170,452,1,0,27,400,3.87178492607,0.000797033309937
10,25.4657635689,540.211303259,288.196601125,536,292,0,0,27,400,0,0.000790119171143
11,28.8879716396,153.542549854,387.476262917,267,357,1,0,27,400,104.479341141,0.000825881958008
12,30.2658338547,549.605345686,337.441896094,560,342,0,0,27,400,0,0.000856876373291
13,34.739125967,150.394654314,337.441896094,191,345,1,0,27,400,28.3027727024,0.00103092193604
14,37.0683619976,546.457450146,387.476262917,551,386,0,0,27,400,0,0.000890970230103
15,39.5347149372,159.788696741,288.196601125,157,287,0,0,27,400,0,0.00085711479187
16,41.0124678612,530.965410493,435.155858313,530,431,0,0,27,400,0,0.000680923461914
17,45.7547957897,181.1344149,242.834641004,178,238,0,0,27,400,0,0.000915050506592
18,48.3459718227,504.102648555,477.48479795,506,475,0,0,27,400,0,0.000782012939453
19,49.880396843,213.090578814,204.206274516,214,204,0,0,27,400,0,0.000818014144897
20,50.9504616261,467.557050458,511.803398875,467,509,0,0,27,400,0,0.000903129577637
21,52.7075397968,253.64926518,174.738663991,259,178,0,0,27,400,0,0.000823974609375
22,55.2522788048,423.624910537,535.955297178,421,539,0,0,27,400,0,0.000668048858643
23,56.5098645687,300.262022567,156.283367774,300,165,0,0,27,400,0,0.000992059707642
24,60.3606476784,375.066646713,548.422940263,378,553,0,0,27,400,0,0.0011260509491
25,62.6407287121,350.0,150.0,347,157,0,0,27,400,0,0.000891923904419
