P33FR3,C,2014-08-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time
0,4.26459598541,350.0,50.0,346,46,0,0,13,600,0,9.1681740284
1,8.63791489601,312.400029931,647.634410394,307,645,1,0,13,600,0.00836428475959,0.000815153121948
2,10.3879759312,424.606966149,59.4250516614,422,61,0,0,13,600,0,0.00119400024414
3,13.0504579544,239.562634195,628.932945766,235,590,1,0,13,600,33.1993864346,0.000964879989624
4,14.9317741394,494.526102231,87.1079959868,498,89,0,0,13,600,0,0.000540971755981
5,18.0539410114,173.664424312,592.705098312,289,364,1,0,13,600,250.141205223,0.000990152359009
6,19.5799238682,555.364131779,131.309411774,556,131,0,0,13,600,0,0.00115299224854
7,21.577121973,118.846027167,541.227196925,122,546,0,0,13,600,0,0.00102186203003
8,23.4286463261,603.298377651,189.251961506,605,194,0,0,13,600,0,0.00117683410645
9,26.286452055,78.5518842602,477.73378747,102,474,1,0,13,600,17.7435317637,0.000775098800659
10,30.6747972965,635.316954889,257.294901688,80,478,1,0,13,600,591.568122316,0.000911951065063
11,33.374723196,55.3138247814,406.214394376,57,405,0,0,13,600,0,0.000860929489136
12,36.3384892941,649.408018528,331.162844141,651,338,1,0,13,600,1.02005023081,0.00074291229248
13,38.1968634129,50.5919814715,331.162844141,54,327,0,0,13,600,0,0.000756978988647
14,55.8186864853,644.686175219,406.214394376,648,413,1,0,13,600,1.55154807772,0.000801801681519
15,58.2260634899,64.6830451115,257.294901688,64,257,0,0,13,600,0,0.000730037689209
16,59.9356856346,621.44811574,477.73378747,618,481,0,0,13,600,0,0.000747919082642
17,61.7993927002,96.7016223494,189.251961506,96,189,0,0,13,600,0,0.000974893569946
18,63.622610569,581.153972833,541.227196925,581,536,0,0,13,600,0,0.000771045684814
19,65.4767546654,144.635868221,131.309411774,146,129,0,0,13,600,0,0.00107002258301
20,67.0059354305,526.335575688,592.705098312,529,598,0,0,13,600,0,0.000754117965698
21,69.4850924015,205.473897769,87.1079959868,203,82,0,0,13,600,0,0.000985145568848
22,71.7539641857,460.437365805,628.932945766,464,627,0,0,13,600,0,0.000903129577637
23,74.3726735115,275.393033851,59.4250516614,271,64,1,0,13,600,0.342625537802,0.000734806060791
24,76.5449943542,387.599970069,647.634410394,385,648,0,0,13,600,0,0.000775098800659
25,78.551841259,350.0,50.0,350,55,0,0,13,600,0,0.00107598304749
